country,code,year,mean_age_of_women_at_first_marriage
Australia,AUS,1990,24.3
Australia,AUS,1991,24.5
Australia,AUS,1992,24.7
Australia,AUS,1993,24.8
Australia,AUS,1994,25.1
Australia,AUS,1995,25.3
Australia,AUS,1996,25.7
Australia,AUS,1997,25.9
Australia,AUS,1998,26.2
Australia,AUS,1999,26.4
Australia,AUS,2000,26.7
Australia,AUS,2001,26.9
Australia,AUS,2002,27.1
Australia,AUS,2003,27.3
Australia,AUS,2004,27.5
Australia,AUS,2005,27.6
Australia,AUS,2006,27.6
Australia,AUS,2007,27.6
Australia,AUS,2008,27.7
Australia,AUS,2009,27.7
Australia,AUS,2010,27.9
Australia,AUS,2011,28.0
Australia,AUS,2012,28.1
Australia,AUS,2013,28.3
Australia,AUS,2014,28.4
Australia,AUS,2015,28.5
Australia,AUS,2016,28.7
Australia,AUS,2017,28.8
Australia,AUS,2018,29.2
Australia,AUS,2019,29.3
Australia,AUS,2020,29.2
Austria,AUT,1990,25.2
Austria,AUT,1991,25.4
Austria,AUT,1992,25.6
Austria,AUT,1993,25.8
Austria,AUT,1994,26.1
Austria,AUT,1995,26.3
Austria,AUT,1996,26.5
Austria,AUT,1997,26.8
Austria,AUT,1998,26.9
Austria,AUT,1999,27.3
Austria,AUT,2000,27.4
Austria,AUT,2001,27.5
Austria,AUT,2002,27.7
Austria,AUT,2003,27.9
Austria,AUT,2004,28.2
Austria,AUT,2005,28.6
Austria,AUT,2006,29.1
Austria,AUT,2007,29.3
Austria,AUT,2008,29.5
Austria,AUT,2009,29.9
Austria,AUT,2011,30.3
Austria,AUT,2012,30.6
Austria,AUT,2017,31.5
Austria,AUT,2018,31.7
Austria,AUT,2019,32.0
Belgium,BEL,1990,24.4
Belgium,BEL,1991,24.0
Belgium,BEL,1992,24.8
Belgium,BEL,1993,25.1
Belgium,BEL,1994,25.4
Belgium,BEL,1995,25.6
Belgium,BEL,1996,25.7
Belgium,BEL,1997,25.9
Belgium,BEL,1998,26.0
Belgium,BEL,1999,26.3
Belgium,BEL,2000,26.9
Belgium,BEL,2001,26.7
Belgium,BEL,2002,27.0
Belgium,BEL,2003,27.5
Belgium,BEL,2004,27.9
Belgium,BEL,2005,28.1
Belgium,BEL,2006,28.4
Belgium,BEL,2007,28.6
Belgium,BEL,2008,28.9
Belgium,BEL,2009,29.3
Belgium,BEL,2010,29.4
Belgium,BEL,2017,31.2
Belgium,BEL,2020,32.0
Bulgaria,BGR,1990,21.5
Bulgaria,BGR,1991,21.5
Bulgaria,BGR,1992,21.7
Bulgaria,BGR,1993,22.0
Bulgaria,BGR,1994,22.4
Bulgaria,BGR,1995,22.7
Bulgaria,BGR,1996,23.0
Bulgaria,BGR,1997,23.3
Bulgaria,BGR,1998,23.4
Bulgaria,BGR,1999,23.7
Bulgaria,BGR,2000,24.7
Bulgaria,BGR,2001,24.7
Bulgaria,BGR,2002,24.6
Bulgaria,BGR,2003,25.0
Bulgaria,BGR,2004,25.3
Bulgaria,BGR,2005,25.6
Bulgaria,BGR,2006,25.7
Bulgaria,BGR,2007,25.8
Bulgaria,BGR,2008,25.9
Bulgaria,BGR,2009,26.2
Bulgaria,BGR,2010,26.6
Bulgaria,BGR,2011,26.6
Bulgaria,BGR,2013,26.7
Bulgaria,BGR,2014,26.9
Bulgaria,BGR,2015,27.0
Bulgaria,BGR,2016,27.1
Bulgaria,BGR,2017,27.3
Bulgaria,BGR,2018,27.5
Bulgaria,BGR,2019,27.8
Bulgaria,BGR,2020,28.1
Canada,CAN,1990,25.54
Canada,CAN,1991,25.76
Canada,CAN,1992,26.02
Canada,CAN,1993,26.2
