country,year,indicator,birth_order,unit,value,source
Austria,1987,births_by_birth_order,First birth,%,47.6,OECD
Austria,1987,births_by_birth_order,Second birth,%,33.7,OECD
Austria,1987,births_by_birth_order,Third birth or higher,%,18.8,OECD
Belgium,1987,births_by_birth_order,First birth,%,46.8,OECD
Belgium,1987,births_by_birth_order,Second birth,%,33.0,OECD
Belgium,1987,births_by_birth_order,Third birth or higher,%,20.2,OECD
Czechia,1987,births_by_birth_order,First birth,%,46.7,OECD
Czechia,1987,births_by_birth_order,Second birth,%,37.7,OECD
Czechia,1987,births_by_birth_order,Third birth or higher,%,15.6,OECD
Estonia,1987,births_by_birth_order,First birth,%,43.5,OECD
Estonia,1987,births_by_birth_order,Second birth,%,38.0,OECD
Estonia,1987,births_by_birth_order,Third birth or higher,%,18.5,OECD
Finland,1987,births_by_birth_order,First birth,%,39.7,OECD
Finland,1987,births_by_birth_order,Second birth,%,35.7,OECD
Finland,1987,births_by_birth_order,Third birth or higher,%,24.6,OECD
Greece,1987,births_by_birth_order,First birth,%,45.4,OECD
Greece,1987,births_by_birth_order,Second birth,%,38.3,OECD
Greece,1987,births_by_birth_order,Third birth or higher,%,16.3,OECD
Iceland,1987,births_by_birth_order,First birth,%,35.5,OECD
Iceland,1987,births_by_birth_order,Second birth,%,32.9,OECD
Iceland,1987,births_by_birth_order,Third birth or higher,%,31.7,OECD
Latvia,1987,births_by_birth_order,First birth,%,44.3,OECD
Latvia,1987,births_by_birth_order,Second birth,%,37.1,OECD
Latvia,1987,births_by_birth_order,Third birth or higher,%,18.6,OECD
Lithuania,1987,births_by_birth_order,First birth,%,47.2,OECD
Lithuania,1987,births_by_birth_order,Second birth,%,36.8,OECD
Lithuania,1987,births_by_birth_order,Third birth or higher,%,16.0,OECD
Luxembourg,1987,births_by_birth_order,First birth,%,41.0,OECD
Luxembourg,1987,births_by_birth_order,Second birth,%,33.0,OECD
Luxembourg,1987,births_by_birth_order,Third birth or higher,%,15.0,OECD
Netherlands,1987,births_by_birth_order,First birth,%,43.8,OECD
Netherlands,1987,births_by_birth_order,Second birth,%,35.7,OECD
Netherlands,1987,births_by_birth_order,Third birth or higher,%,20.6,OECD
Norway,1987,births_by_birth_order,First birth,%,43.3,OECD
Norway,1987,births_by_birth_order,Second birth,%,35.5,OECD
Norway,1987,births_by_birth_order,Third birth or higher,%,21.2,OECD
Poland,1987,births_by_birth_order,First birth,%,37.3,OECD
Poland,1987,births_by_birth_order,Second birth,%,34.0,OECD
Poland,1987,births_by_birth_order,Third birth or higher,%,28.7,OECD
Slovenia,1987,births_by_birth_order,First birth,%,47.4,OECD
Slovenia,1987,births_by_birth_order,Second birth,%,39.8,OECD
Slovenia,1987,births_by_birth_order,Third birth or higher,%,12.8,OECD
Spain,1987,births_by_birth_order,First birth,%,48.1,OECD
Spain,1987,births_by_birth_order,Second birth,%,33.2,OECD
Spain,1987,births_by_birth_order,Third birth or higher,%,18.7,OECD
Switzerland,1987,births_by_birth_order,First birth,%,42.1,OECD
Switzerland,1987,births_by_birth_order,Second birth,%,35.4,OECD
Switzerland,1987,births_by_birth_order,Third birth or higher,%,16.6,OECD
Romania,1987,births_by_birth_order,First birth,%,36.4,OECD
Romania,1987,births_by_birth_order,Second birth,%,28.4,OECD
Romania,1987,births_by_birth_order,Third birth or higher,%,35.2,OECD
Austria,1988,births_by_birth_order,First birth,%,47.8,OECD
Austria,1988,births_by_birth_order,Second birth,%,33.7,OECD
Austria,1988,births_by_birth_order,Third birth or higher,%,18.5,OECD
Belgium,1988,births_by_birth_order,First birth,%,46.9,OECD
Belgium,1988,births_by_birth_order,Second birth,%,32.9,OECD
Belgium,1988,births_by_birth_order,Third birth or higher,%,20.2,OECD
Czechia,1988,births_by_birth_order,First birth,%,46.6,OECD
Czechia,1988,births_by_birth_order,Second birth,%,37.6,OECD
Czechia,1988,births_by_birth_order,Third birth or higher,%,15.8,OECD
Estonia,1988,births_by_birth_order,First birth,%,43.5,OECD
Estonia,1988,births_by_birth_order,Second birth,%,36.2,OECD
Estonia,1988,births_by_birth_order,Third birth or higher,%,20.4,OECD
Finland,1988,births_by_birth_order,First birth,%,39.6,OECD
Finland,1988,births_by_birth_order,Second birth,%,35.2,OECD
Finland,1988,births_by_birth_order,Third birth or higher,%,25.2,OECD
Greece,1988,births_by_birth_order,First birth,%,45.4,OECD
Greece,1988,births_by_birth_order,Second birth,%,38.5,OECD
Greece,1988,births_by_birth_order,Third birth or higher,%,16.2,OECD
Iceland,1988,births_by_birth_order,First birth,%,35.5,OECD
Iceland,1988,births_by_birth_order,Second birth,%,32.7,OECD
Iceland,1988,births_by_birth_order,Third birth or higher,%,31.7,OECD
Latvia,1988,births_by_birth_order,First birth,%,45.3,OECD
Latvia,1988,births_by_birth_order,Second birth,%,36.0,OECD
Latvia,1988,births_by_birth_order,Third birth or higher,%,18.7,OECD
Lithuania,1988,births_by_birth_order,First birth,%,47.7,OECD
Lithuania,1988,births_by_birth_order,Second birth,%,37.0,OECD
Lithuania,1988,births_by_birth_order,Third birth or higher,%,15.2,OECD
Luxembourg,1988,births_by_birth_order,First birth,%,40.2,OECD
Luxembourg,1988,births_by_birth_order,Second birth,%,32.7,OECD
Luxembourg,1988,births_by_birth_order,Third birth or higher,%,15.0,OECD
Netherlands,1988,births_by_birth_order,First birth,%,44.6,OECD
Netherlands,1988,births_by_birth_order,Second birth,%,34.9,OECD
Netherlands,1988,births_by_birth_order,Third birth or higher,%,20.5,OECD
Norway,1988,births_by_birth_order,First birth,%,44.0,OECD
Norway,1988,births_by_birth_order,Second birth,%,34.6,OECD
Norway,1988,births_by_birth_order,Third birth or higher,%,21.4,OECD
Poland,1988,births_by_birth_order,First birth,%,37.3,OECD
Poland,1988,births_by_birth_order,Second birth,%,33.8,OECD
Poland,1988,births_by_birth_order,Third birth or higher,%,28.9,OECD
Slovenia,1988,births_by_birth_order,First birth,%,47.6,OECD
Slovenia,1988,births_by_birth_order,Second birth,%,39.4,OECD
Slovenia,1988,births_by_birth_order,Third birth or higher,%,13.0,OECD
Spain,1988,births_by_birth_order,First birth,%,49.3,OECD
Spain,1988,births_by_birth_order,Second birth,%,33.4,OECD
Spain,1988,births_by_birth_order,Third birth or higher,%,17.3,OECD
Switzerland,1988,births_by_birth_order,First birth,%,42.4,OECD
Switzerland,1988,births_by_birth_order,Second birth,%,35.0,OECD
Switzerland,1988,births_by_birth_order,Third birth or higher,%,16.5,OECD
Romania,1988,births_by_birth_order,First birth,%,37.8,OECD
Romania,1988,births_by_birth_order,Second birth,%,28.8,OECD
Romania,1988,births_by_birth_order,Third birth or higher,%,33.4,OECD
Austria,1989,births_by_birth_order,First birth,%,46.7,OECD
Austria,1989,births_by_birth_order,Second birth,%,34.3,OECD
Austria,1989,births_by_birth_order,Third birth or higher,%,19.0,OECD
Belgium,1989,births_by_birth_order,First birth,%,47.3,OECD
Belgium,1989,births_by_birth_order,Second birth,%,32.7,OECD
Belgium,1989,births_by_birth_order,Third birth or higher,%,19.9,OECD
Czechia,1989,births_by_birth_order,First birth,%,47.4,OECD
Czechia,1989,births_by_birth_order,Second birth,%,37.4,OECD
Czechia,1989,births_by_birth_order,Third birth or higher,%,15.2,OECD
Estonia,1989,births_by_birth_order,First birth,%,44.0,OECD
Estonia,1989,births_by_birth_order,Second birth,%,34.7,OECD
Estonia,1989,births_by_birth_order,Third birth or higher,%,21.3,OECD
Finland,1989,births_by_birth_order,First birth,%,39.8,OECD
Finland,1989,births_by_birth_order,Second birth,%,34.6,OECD
Finland,1989,births_by_birth_order,Third birth or higher,%,25.6,OECD
Greece,1989,births_by_birth_order,First birth,%,44.4,OECD
Greece,1989,births_by_birth_order,Second birth,%,39.2,OECD
Greece,1989,births_by_birth_order,Third birth or higher,%,16.5,OECD
Iceland,1989,births_by_birth_order,First birth,%,35.6,OECD
Iceland,1989,births_by_birth_order,Second birth,%,32.3,OECD
Iceland,1989,births_by_birth_order,Third birth or higher,%,32.1,OECD
Latvia,1989,births_by_birth_order,First birth,%,46.8,OECD
Latvia,1989,births_by_birth_order,Second birth,%,34.4,OECD
Latvia,1989,births_by_birth_order,Third birth or higher,%,18.8,OECD
Lithuania,1989,births_by_birth_order,First birth,%,48.3,OECD
Lithuania,1989,births_by_birth_order,Second birth,%,36.5,OECD
Lithuania,1989,births_by_birth_order,Third birth or higher,%,15.2,OECD
Luxembourg,1989,births_by_birth_order,First birth,%,40.1,OECD
Luxembourg,1989,births_by_birth_order,Second birth,%,33.1,OECD
Luxembourg,1989,births_by_birth_order,Third birth or higher,%,14.9,OECD
Netherlands,1989,births_by_birth_order,First birth,%,44.3,OECD
Netherlands,1989,births_by_birth_order,Second birth,%,35.1,OECD
Netherlands,1989,births_by_birth_order,Third birth or higher,%,20.6,OECD
Norway,1989,births_by_birth_order,First birth,%,43.5,OECD
Norway,1989,births_by_birth_order,Second birth,%,34.8,OECD
Norway,1989,births_by_birth_order,Third birth or higher,%,21.7,OECD
Poland,1989,births_by_birth_order,First birth,%,37.8,OECD
Poland,1989,births_by_birth_order,Second birth,%,33.5,OECD
