country,mothers_education,living_arrangement,value,unit,source,indicator,year
Austria,low,married,75.09,%,OECD,children_by_mothers_level_of_education,2016
Belgium,low,married,48.73,%,OECD,children_by_mothers_level_of_education,2016
Czech Republic,low,married,41.37,%,OECD,children_by_mothers_level_of_education,2016
Estonia,low,married,36.65,%,OECD,children_by_mothers_level_of_education,2016
Finland,low,married,53.44,%,OECD,children_by_mothers_level_of_education,2016
France,low,married,56.08,%,OECD,children_by_mothers_level_of_education,2016
Greece,low,married,92.25,%,OECD,children_by_mothers_level_of_education,2016
Hungary,low,married,43.95,%,OECD,children_by_mothers_level_of_education,2016
Iceland,low,married,49.56,%,OECD,children_by_mothers_level_of_education,2016
Ireland,low,married,57.55,%,OECD,children_by_mothers_level_of_education,2016
Italy,low,married,84.6,%,OECD,children_by_mothers_level_of_education,2016
Latvia,low,married,26.92,%,OECD,children_by_mothers_level_of_education,2016
Lithuania,low,married,47.37,%,OECD,children_by_mothers_level_of_education,2016
Luxembourg,low,married,70.85,%,OECD,children_by_mothers_level_of_education,2016
Netherlands,low,married,73.72,%,OECD,children_by_mothers_level_of_education,2016
Norway,low,married,41.24,%,OECD,children_by_mothers_level_of_education,2016
Poland,low,married,63.43,%,OECD,children_by_mothers_level_of_education,2016
Portugal,low,married,61.61,%,OECD,children_by_mothers_level_of_education,2016
Slovak Republic,low,married,60.21,%,OECD,children_by_mothers_level_of_education,2016
Slovenia,low,married,71.04,%,OECD,children_by_mothers_level_of_education,2016
Spain,low,married,68.51,%,OECD,children_by_mothers_level_of_education,2016
Sweden,low,married,54.03,%,OECD,children_by_mothers_level_of_education,2016
Switzerland,low,married,88.14,%,OECD,children_by_mothers_level_of_education,2016
United Kingdom,low,married,46.29,%,OECD,children_by_mothers_level_of_education,2016
United States,low,married,58.11,%,OECD,children_by_mothers_level_of_education,2016
OECD average,low,married,59.77,%,OECD,children_by_mothers_level_of_education,2016
Bulgaria,low,married,33.77,%,OECD,children_by_mothers_level_of_education,2016
Croatia,low,married,84.93,%,OECD,children_by_mothers_level_of_education,2016
Cyprus,low,married,74.27,%,OECD,children_by_mothers_level_of_education,2016
Malta,low,married,74.03,%,OECD,children_by_mothers_level_of_education,2016
Romania,low,married,75.84,%,OECD,children_by_mothers_level_of_education,2016
EU average,low,married,61.75,%,OECD,children_by_mothers_level_of_education,2016
Austria,low,cohabiting,6.83,%,OECD,children_by_mothers_level_of_education,2016
Belgium,low,cohabiting,19.87,%,OECD,children_by_mothers_level_of_education,2016
Czech Republic,low,cohabiting,37.64,%,OECD,children_by_mothers_level_of_education,2016
Estonia,low,cohabiting,46.16,%,OECD,children_by_mothers_level_of_education,2016
Finland,low,cohabiting,23.43,%,OECD,children_by_mothers_level_of_education,2016
