country,isocode,sex,agegroup,age_start,ageend,data_value,dataprocess,datacatalogshortname,data_source
Afghanistan,4,Men,[15-19],15,19,7.6,Survey,1972-1974 NDFGS,National statistics
Afghanistan,4,Men,[20-24],20,24,31.9,Survey,1972-1974 NDFGS,National statistics
Afghanistan,4,Men,[25-29],25,29,59.1,Survey,1972-1974 NDFGS,National statistics
Afghanistan,4,Men,[30-34],30,34,78.9,Survey,1972-1974 NDFGS,National statistics
Afghanistan,4,Men,[35-39],35,39,87.2,Survey,1972-1974 NDFGS,National statistics
Afghanistan,4,Men,[40-44],40,44,89.7,Survey,1972-1974 NDFGS,National statistics
Afghanistan,4,Men,[45-49],45,49,90.7,Survey,1972-1974 NDFGS,National statistics
Afghanistan,4,Men,[50-54],50,54,91.5,Survey,1972-1974 NDFGS,National statistics
Afghanistan,4,Men,[55-59],55,59,91.5,Survey,1972-1974 NDFGS,National statistics
Afghanistan,4,Men,[60-64],60,64,85.4,Survey,1972-1974 NDFGS,National statistics
Afghanistan,4,Men,[65+],65,999,78.3,Survey,1972-1974 NDFGS,National statistics
Afghanistan,4,Women,[15-19],15,19,49.7,Survey,1972-1974 NDFGS,National statistics
Afghanistan,4,Women,[20-24],20,24,87.0,Survey,1972-1974 NDFGS,National statistics
Afghanistan,4,Women,[25-29],25,29,94.3,Survey,1972-1974 NDFGS,National statistics
Afghanistan,4,Women,[30-34],30,34,94.2,Survey,1972-1974 NDFGS,National statistics
Afghanistan,4,Women,[35-39],35,39,93.4,Survey,1972-1974 NDFGS,National statistics
Afghanistan,4,Women,[40-44],40,44,84.8,Survey,1972-1974 NDFGS,National statistics
Afghanistan,4,Women,[45-49],45,49,79.4,Survey,1972-1974 NDFGS,National statistics
Afghanistan,4,Women,[50-54],50,54,62.4,Survey,1972-1974 NDFGS,National statistics
Afghanistan,4,Women,[55-59],55,59,54.9,Survey,1972-1974 NDFGS,National statistics
Afghanistan,4,Women,[60-64],60,64,40.7,Survey,1972-1974 NDFGS,National statistics
Afghanistan,4,Women,[65+],65,999,23.9,Survey,1972-1974 NDFGS,National statistics
Afghanistan,4,Men,[10-14],10,14,0.21,Census,1979 Census,UNSD
Afghanistan,4,Men,[15-19],15,19,9.1,Census,1979 Census,UNSD
Afghanistan,4,Men,[20-24],20,24,36.14,Census,1979 Census,UNSD
Afghanistan,4,Men,[25-29],25,29,64.11,Census,1979 Census,UNSD
