country,year,value,category,sex,indicator,unit,source
Austria,1970,1.4,total,all,mean_age_first_marriage,‰,OECD
Belgium,1970,0.7,total,all,mean_age_first_marriage,‰,OECD
Czechia,1970,2.2,total,all,mean_age_first_marriage,‰,OECD
Denmark,1970,1.9,total,all,mean_age_first_marriage,‰,OECD
Finland,1970,1.3,total,all,mean_age_first_marriage,‰,OECD
Germany,1970,1.3,total,all,mean_age_first_marriage,‰,OECD
Hungary,1970,2.2,total,all,mean_age_first_marriage,‰,OECD
Japan,1970,0.9,total,all,mean_age_first_marriage,‰,OECD
Korea,1970,0.4,total,all,mean_age_first_marriage,‰,OECD
Latvia,1970,4.6,total,all,mean_age_first_marriage,‰,OECD
Lithuania,1970,2.2,total,all,mean_age_first_marriage,‰,OECD
Luxembourg,1970,0.6,total,all,mean_age_first_marriage,‰,OECD
Netherlands,1970,0.8,total,all,mean_age_first_marriage,‰,OECD
Norway,1970,0.9,total,all,mean_age_first_marriage,‰,OECD
Poland,1970,1.1,total,all,mean_age_first_marriage,‰,OECD
Portugal,1970,0.1,total,all,mean_age_first_marriage,‰,OECD
Slovakia,1970,0.8,total,all,mean_age_first_marriage,‰,OECD
Slovenia,1970,1.1,total,all,mean_age_first_marriage,‰,OECD
Sweden,1970,1.6,total,all,mean_age_first_marriage,‰,OECD
Switzerland,1970,1.0,total,all,mean_age_first_marriage,‰,OECD
Bulgaria,1970,1.2,total,all,mean_age_first_marriage,‰,OECD
Croatia,1970,1.2,total,all,mean_age_first_marriage,‰,OECD
Romania,1970,0.4,total,all,mean_age_first_marriage,‰,OECD
Austria,1971,1.3,total,all,mean_age_first_marriage,‰,OECD
Belgium,1971,0.7,total,all,mean_age_first_marriage,‰,OECD
Czechia,1971,2.4,total,all,mean_age_first_marriage,‰,OECD
Denmark,1971,2.7,total,all,mean_age_first_marriage,‰,OECD
Finland,1971,1.6,total,all,mean_age_first_marriage,‰,OECD
Germany,1971,1.4,total,all,mean_age_first_marriage,‰,OECD
Hungary,1971,2.3,total,all,mean_age_first_marriage,‰,OECD
Japan,1971,1.0,total,all,mean_age_first_marriage,‰,OECD
Korea,1971,0.3,total,all,mean_age_first_marriage,‰,OECD
Latvia,1971,4.6,total,all,mean_age_first_marriage,‰,OECD
Lithuania,1971,2.2,total,all,mean_age_first_marriage,‰,OECD
Luxembourg,1971,0.7,total,all,mean_age_first_marriage,‰,OECD
Netherlands,1971,0.9,total,all,mean_age_first_marriage,‰,OECD
