country,isocode,sex,agegroup,age_start,age_end,datavalue,dataprocess,datasource
Afghanistan,4,Men,[15-19],15,19,7.7,Survey,National statistics
Afghanistan,4,Men,[20-24],20,24,32.6,Survey,National statistics
Afghanistan,4,Men,[25-29],25,29,61.4,Survey,National statistics
Afghanistan,4,Men,[30-34],30,34,83.0,Survey,National statistics
Afghanistan,4,Men,[35-39],35,39,91.2,Survey,National statistics
Afghanistan,4,Men,[40-44],40,44,94.1,Survey,National statistics
Afghanistan,4,Men,[45-49],45,49,96.3,Survey,National statistics
Afghanistan,4,Men,[50-54],50,54,98.3,Survey,National statistics
Afghanistan,4,Men,[55-59],55,59,98.5,Survey,National statistics
Afghanistan,4,Men,[60-64],60,64,97.9,Survey,National statistics
Afghanistan,4,Men,[65+],65,999,98.3,Survey,National statistics
Afghanistan,4,Women,[15-19],15,19,50.5,Survey,National statistics
Afghanistan,4,Women,[20-24],20,24,88.1,Survey,National statistics
Afghanistan,4,Women,[25-29],25,29,96.2,Survey,National statistics
Afghanistan,4,Women,[30-34],30,34,98.4,Survey,National statistics
Afghanistan,4,Women,[35-39],35,39,99.0,Survey,National statistics
Afghanistan,4,Women,[40-44],40,44,98.5,Survey,National statistics
Afghanistan,4,Women,[45-49],45,49,99.5,Survey,National statistics
Afghanistan,4,Women,[50-54],50,54,98.3,Survey,National statistics
Afghanistan,4,Women,[55-59],55,59,98.7,Survey,National statistics
Afghanistan,4,Women,[60-64],60,64,99.1,Survey,National statistics
Afghanistan,4,Women,[65+],65,999,97.5,Survey,National statistics
Afghanistan,4,Men,[10-14],10,14,0.23,Census,UNSD
Afghanistan,4,Men,[15-19],15,19,9.2,Census,UNSD
Afghanistan,4,Men,[20-24],20,24,36.53,Census,UNSD
Afghanistan,4,Men,[25-29],25,29,65.0,Census,UNSD
Afghanistan,4,Men,[30-34],30,34,83.33,Census,UNSD
Afghanistan,4,Men,[35-39],35,39,90.97,Census,UNSD
Afghanistan,4,Men,[40-44],40,44,94.21,Census,UNSD
Afghanistan,4,Men,[45-49],45,49,95.94,Census,UNSD
Afghanistan,4,Men,[50-54],50,54,96.6,Census,UNSD
Afghanistan,4,Men,[55-59],55,59,97.43,Census,UNSD
Afghanistan,4,Men,[60-64],60,64,97.51,Census,UNSD
Afghanistan,4,Men,[65+],65,999,97.11,Census,UNSD
Afghanistan,4,Women,[10-14],10,14,1.17,Census,UNSD
Afghanistan,4,Women,[15-19],15,19,53.65,Census,UNSD
Afghanistan,4,Women,[20-24],20,24,90.68,Census,UNSD
Afghanistan,4,Women,[25-29],25,29,97.16,Census,UNSD
Afghanistan,4,Women,[30-34],30,34,98.55,Census,UNSD
Afghanistan,4,Women,[35-39],35,39,99.11,Census,UNSD
Afghanistan,4,Women,[40-44],40,44,98.97,Census,UNSD
Afghanistan,4,Women,[45-49],45,49,99.01,Census,UNSD
Afghanistan,4,Women,[50-54],50,54,99.11,Census,UNSD
Afghanistan,4,Women,[55-59],55,59,98.78,Census,UNSD
Afghanistan,4,Women,[60-64],60,64,98.48,Census,UNSD
Afghanistan,4,Women,[65+],65,999,98.12,Census,UNSD
Afghanistan,4,Women,[15-19],15,19,17.3,Survey,National statistics
Afghanistan,4,Women,[20-24],20,24,66.2,Survey,National statistics
Afghanistan,4,Women,[25-29],25,29,90.0,Survey,National statistics
Afghanistan,4,Women,[30-34],30,34,96.5,Survey,National statistics
Afghanistan,4,Women,[35-39],35,39,98.7,Survey,National statistics
Afghanistan,4,Women,[40-44],40,44,99.1,Survey,National statistics
Afghanistan,4,Women,[45-49],45,49,99.5,Survey,National statistics
Afghanistan,4,Women,[15-19],15,19,19.89,Survey,MICS
Afghanistan,4,Women,[20-24],20,24,67.74,Survey,MICS
Afghanistan,4,Women,[25-29],25,29,91.17,Survey,MICS
Afghanistan,4,Women,[30-34],30,34,96.59,Survey,MICS
Afghanistan,4,Women,[35-39],35,39,99.05,Survey,MICS
Afghanistan,4,Women,[40-44],40,44,99.1,Survey,MICS
Afghanistan,4,Women,[45-49],45,49,99.28,Survey,MICS
Afghanistan,4,Men,[15-19],15,19,3.34,Survey,DHS_HH
Afghanistan,4,Men,[15-19],15,19,3.1,Survey,DHS_STATcompiler
Afghanistan,4,Men,[20-24],20,24,30.5,Survey,DHS_STATcompiler
Afghanistan,4,Men,[20-24],20,24,33.97,Survey,DHS_HH
Afghanistan,4,Men,[25-29],25,29,81.2,Survey,DHS_HH
Afghanistan,4,Men,[25-29],25,29,80.0,Survey,DHS_STATcompiler
Afghanistan,4,Men,[30-34],30,34,94.0,Survey,DHS_STATcompiler
Afghanistan,4,Men,[30-34],30,34,94.76,Survey,DHS_HH
Afghanistan,4,Men,[35-39],35,39,98.8,Survey,DHS_HH
Afghanistan,4,Men,[35-39],35,39,98.6,Survey,DHS_STATcompiler
Afghanistan,4,Men,[40-44],40,44,99.1,Survey,DHS_STATcompiler
Afghanistan,4,Men,[40-44],40,44,99.3,Survey,DHS_HH
Afghanistan,4,Men,[45-49],45,49,99.47,Survey,DHS_HH
Afghanistan,4,Men,[45-49],45,49,99.6,Survey,DHS_STATcompiler
Afghanistan,4,Men,[50-54],50,54,99.49,Survey,DHS_HH
Afghanistan,4,Men,[55-59],55,59,99.95,Survey,DHS_HH
Afghanistan,4,Men,[60-64],60,64,99.69,Survey,DHS_HH
Afghanistan,4,Men,[65-69],65,69,99.51,Survey,DHS_HH
Afghanistan,4,Men,[70-74],70,74,99.76,Survey,DHS_HH
Afghanistan,4,Men,[75+],75,999,99.56,Survey,DHS_HH
Afghanistan,4,Women,[15-19],15,19,17.42,Survey,DHS_HH
Afghanistan,4,Women,[15-19],15,19,17.0,Survey,DHS_STATcompiler
Afghanistan,4,Women,[20-24],20,24,66.9,Survey,DHS_STATcompiler
Afghanistan,4,Women,[20-24],20,24,68.26,Survey,DHS_HH
Afghanistan,4,Women,[25-29],25,29,90.96,Survey,DHS_HH
Afghanistan,4,Women,[25-29],25,29,90.4,Survey,DHS_STATcompiler
Afghanistan,4,Women,[30-34],30,34,97.6,Survey,DHS_STATcompiler
Afghanistan,4,Women,[30-34],30,34,97.6,Survey,DHS_HH
Afghanistan,4,Women,[35-39],35,39,98.97,Survey,DHS_HH
Afghanistan,4,Women,[35-39],35,39,99.1,Survey,DHS_STATcompiler
Afghanistan,4,Women,[40-44],40,44,99.8,Survey,DHS_STATcompiler
Afghanistan,4,Women,[40-44],40,44,99.63,Survey,DHS_HH
Afghanistan,4,Women,[45-49],45,49,99.67,Survey,DHS_HH
Afghanistan,4,Women,[45-49],45,49,100.0,Survey,DHS_STATcompiler
