country,age_group,year,value,indicator,unit
Australia,15-19,1960,44.3,fertility_by_age,per_1000
Australia,20-24,1960,220.1,fertility_by_age,per_1000
Australia,25-29,1960,216.3,fertility_by_age,per_1000
Australia,30-34,1960,127.5,fertility_by_age,per_1000
Australia,35-39,1960,62.3,fertility_by_age,per_1000
Australia,40-44,1960,18.4,fertility_by_age,per_1000
Australia,45-49,1960,1.3,fertility_by_age,per_1000
Austria,15-19,1960,47.9,fertility_by_age,per_1000
Austria,20-24,1960,159.3,fertility_by_age,per_1000
Austria,25-29,1960,158.6,fertility_by_age,per_1000
Austria,30-34,1960,100.7,fertility_by_age,per_1000
Austria,35-39,1960,53.1,fertility_by_age,per_1000
Austria,40-44,1960,17.4,fertility_by_age,per_1000
Austria,45-49,1960,1.1,fertility_by_age,per_1000
Belgium,15-19,1960,25.4,fertility_by_age,per_1000
Belgium,20-24,1960,150.4,fertility_by_age,per_1000
Belgium,25-29,1960,161.7,fertility_by_age,per_1000
Belgium,30-34,1960,99.9,fertility_by_age,per_1000
Belgium,35-39,1960,50.1,fertility_by_age,per_1000
Belgium,40-44,1960,17.3,fertility_by_age,per_1000
Belgium,45-49,1960,1.1,fertility_by_age,per_1000
Canada,15-19,1960,59.8,fertility_by_age,per_1000
Canada,20-24,1960,233.5,fertility_by_age,per_1000
Canada,25-29,1960,224.4,fertility_by_age,per_1000
Canada,30-34,1960,146.2,fertility_by_age,per_1000
Canada,35-39,1960,84.2,fertility_by_age,per_1000
Canada,40-44,1960,28.5,fertility_by_age,per_1000
Canada,45-49,1960,2.4,fertility_by_age,per_1000
Czech Republic,15-19,1960,44.1,fertility_by_age,per_1000
Czech Republic,20-24,1960,184.3,fertility_by_age,per_1000
Czech Republic,25-29,1960,115.0,fertility_by_age,per_1000
Czech Republic,30-34,1960,50.0,fertility_by_age,per_1000
Czech Republic,35-39,1960,19.8,fertility_by_age,per_1000
Czech Republic,40-44,1960,5.1,fertility_by_age,per_1000
Czech Republic,45-49,1960,0.3,fertility_by_age,per_1000
Denmark,15-19,1960,41.7,fertility_by_age,per_1000
Denmark,20-24,1960,170.7,fertility_by_age,per_1000
Denmark,25-29,1960,157.8,fertility_by_age,per_1000
Denmark,30-34,1960,87.8,fertility_by_age,per_1000
Denmark,35-39,1960,38.8,fertility_by_age,per_1000
Denmark,40-44,1960,11.5,fertility_by_age,per_1000
Denmark,45-49,1960,0.7,fertility_by_age,per_1000
Estonia,15-19,1960,23.0,fertility_by_age,per_1000
Estonia,20-24,1960,127.1,fertility_by_age,per_1000
Estonia,25-29,1960,119.7,fertility_by_age,per_1000
Estonia,30-34,1960,75.1,fertility_by_age,per_1000
Estonia,35-39,1960,41.1,fertility_by_age,per_1000
Estonia,40-44,1960,13.1,fertility_by_age,per_1000
Estonia,45-49,1960,0.9,fertility_by_age,per_1000
Finland,15-19,1960,28.4,fertility_by_age,per_1000
Finland,20-24,1960,162.9,fertility_by_age,per_1000
Finland,25-29,1960,158.7,fertility_by_age,per_1000
Finland,30-34,1960,103.9,fertility_by_age,per_1000
Finland,35-39,1960,61.3,fertility_by_age,per_1000
Finland,40-44,1960,25.0,fertility_by_age,per_1000
Finland,45-49,1960,2.4,fertility_by_age,per_1000
Greece,15-19,1960,17.9,fertility_by_age,per_1000
Greece,20-24,1960,99.5,fertility_by_age,per_1000
Greece,25-29,1960,159.3,fertility_by_age,per_1000
Greece,30-34,1960,109.0,fertility_by_age,per_1000
Greece,35-39,1960,46.7,fertility_by_age,per_1000
Greece,40-44,1960,12.1,fertility_by_age,per_1000
Greece,45-49,1960,1.8,fertility_by_age,per_1000
Hungary,15-19,1960,52.5,fertility_by_age,per_1000
Hungary,20-24,1960,159.3,fertility_by_age,per_1000
Hungary,25-29,1960,105.7,fertility_by_age,per_1000
Hungary,30-34,1960,52.9,fertility_by_age,per_1000
Hungary,35-39,1960,25.0,fertility_by_age,per_1000
Hungary,40-44,1960,8.0,fertility_by_age,per_1000
Hungary,45-49,1960,0.5,fertility_by_age,per_1000
Ireland,15-19,1960,8.8,fertility_by_age,per_1000
Ireland,20-24,1960,104.5,fertility_by_age,per_1000
Ireland,25-29,1960,211.2,fertility_by_age,per_1000
Ireland,30-34,1960,214.6,fertility_by_age,per_1000
Ireland,35-39,1960,157.0,fertility_by_age,per_1000
Ireland,40-44,1960,56.2,fertility_by_age,per_1000
Ireland,45-49,1960,4.2,fertility_by_age,per_1000
Israel,15-19,1960,55.2,fertility_by_age,per_1000
Israel,20-24,1960,234.2,fertility_by_age,per_1000
Israel,25-29,1960,240.2,fertility_by_age,per_1000
Israel,30-34,1960,153.0,fertility_by_age,per_1000
Israel,35-39,1960,85.0,fertility_by_age,per_1000
Israel,40-44,1960,27.0,fertility_by_age,per_1000
Israel,45-49,1960,5.0,fertility_by_age,per_1000
Italy,15-19,1960,18.9,fertility_by_age,per_1000
Italy,20-24,1960,107.9,fertility_by_age,per_1000
Italy,25-29,1960,152.7,fertility_by_age,per_1000
Italy,30-34,1960,109.5,fertility_by_age,per_1000
Italy,35-39,1960,61.1,fertility_by_age,per_1000
Italy,40-44,1960,22.4,fertility_by_age,per_1000
Italy,45-49,1960,1.8,fertility_by_age,per_1000
Netherlands,15-19,1960,16.3,fertility_by_age,per_1000
Netherlands,20-24,1960,120.3,fertility_by_age,per_1000
Netherlands,25-29,1960,208.4,fertility_by_age,per_1000
Netherlands,30-34,1960,152.6,fertility_by_age,per_1000
Netherlands,35-39,1960,88.7,fertility_by_age,per_1000
Netherlands,40-44,1960,33.1,fertility_by_age,per_1000
Netherlands,45-49,1960,2.8,fertility_by_age,per_1000
Portugal,15-19,1960,26.6,fertility_by_age,per_1000
Portugal,20-24,1960,151.3,fertility_by_age,per_1000
Portugal,25-29,1960,178.8,fertility_by_age,per_1000
Portugal,30-34,1960,132.6,fertility_by_age,per_1000
Portugal,35-39,1960,94.7,fertility_by_age,per_1000
Portugal,40-44,1960,43.7,fertility_by_age,per_1000
Portugal,45-49,1960,4.0,fertility_by_age,per_1000
Slovak Republic,15-19,1960,49.9,fertility_by_age,per_1000
Slovak Republic,20-24,1960,224.5,fertility_by_age,per_1000
Slovak Republic,25-29,1960,165.1,fertility_by_age,per_1000
Slovak Republic,30-34,1960,97.3,fertility_by_age,per_1000
Slovak Republic,35-39,1960,51.6,fertility_by_age,per_1000
Slovak Republic,40-44,1960,18.3,fertility_by_age,per_1000
Slovak Republic,45-49,1960,1.5,fertility_by_age,per_1000
Switzerland,15-19,1960,15.7,fertility_by_age,per_1000
Switzerland,20-24,1960,124.0,fertility_by_age,per_1000
Switzerland,25-29,1960,166.1,fertility_by_age,per_1000
Switzerland,30-34,1960,110.8,fertility_by_age,per_1000
Switzerland,35-39,1960,53.7,fertility_by_age,per_1000
Switzerland,40-44,1960,17.7,fertility_by_age,per_1000
Switzerland,45-49,1960,1.3,fertility_by_age,per_1000
United States,15-19,1960,88.5,fertility_by_age,per_1000
United States,20-24,1960,255.7,fertility_by_age,per_1000
United States,25-29,1960,198.0,fertility_by_age,per_1000
United States,30-34,1960,113.2,fertility_by_age,per_1000
United States,35-39,1960,56.3,fertility_by_age,per_1000
United States,40-44,1960,15.4,fertility_by_age,per_1000
United States,45-49,1960,0.9,fertility_by_age,per_1000
Bulgaria,15-19,1960,74.6,fertility_by_age,per_1000
Bulgaria,20-24,1960,187.2,fertility_by_age,per_1000
Bulgaria,25-29,1960,120.1,fertility_by_age,per_1000
Bulgaria,30-34,1960,51.3,fertility_by_age,per_1000
Bulgaria,35-39,1960,19.7,fertility_by_age,per_1000
Bulgaria,40-44,1960,7.2,fertility_by_age,per_1000
Bulgaria,45-49,1960,0.9,fertility_by_age,per_1000
Australia,15-19,1961,47.4,fertility_by_age,per_1000
Australia,20-24,1961,225.8,fertility_by_age,per_1000
Australia,25-29,1961,221.2,fertility_by_age,per_1000
Australia,30-34,1961,131.1,fertility_by_age,per_1000
Australia,35-39,1961,63.4,fertility_by_age,per_1000
