country,avg_size_all,avg_size_couple_with_children,avg_size_single_parent_with_children,couple_total (%),couple_with_children (%),couple_without_children (%),single_parent_total (%),single_mother (%),single_father (%),single_person (%),other_types (%),hh_0_children (%),hh_1_child (%),hh_2_children (%),hh_3plus_children (%)
Austria,2.2,3.8,2.5,48.93,21.13,27.8,5.63,4.78,0.85,38.34,7.11,77.78,10.52,8.57,3.12
Belgium,2.2,3.9,2.6,52.22,23.98,28.24,7.42,6.08,1.35,35.5,4.86,73.97,11.76,10.15,4.11
Bulgaria,2.2,3.5,2.3,40.3,16.35,23.95,4.6,3.88,0.73,35.81,19.28,78.21,12.93,7.48,1.38
Costa Rica,3.46,4.37,3.44,52.44,38.15,14.29,10.55,9.49,1.06,11.27,25.74,30.29,23.08,24.61,22.02
Croatia,2.6,3.9,2.6,51.51,24.78,26.73,5.42,4.39,1.04,27.8,15.27,74.18,11.96,10.1,3.76
Cyprus,2.5,3.7,2.4,56.92,27.42,29.5,6.17,4.94,1.23,24.49,12.43,71.36,13.88,11.67,3.1
Czechia,2.3,3.7,2.4,47.03,21.7,25.32,7.15,6.11,1.04,39.15,6.67,71.95,13.85,11.56,2.64
Denmark,1.9,3.9,2.5,48.6,20.41,28.19,6.31,5.11,1.19,37.57,7.52,77.78,10.54,8.94,2.74
Estonia,1.8,3.8,2.6,46.2,25.46,20.73,6.83,6.09,0.74,36.99,9.98,75.76,12.53,8.73,2.98
Finland,1.9,4.0,2.6,45.64,17.06,28.58,5.43,4.5,0.93,45.34,3.6,81.98,7.89,6.99,3.14
France,2.1,3.9,2.6,49.73,22.19,27.54,7.68,6.23,1.45,37.78,4.81,75.36,11.43,9.23,3.99
Germany,2.0,3.8,2.5,45.78,17.89,27.89,5.41,4.44,0.98,43.14,5.67,79.86,9.91,7.72,2.51
Greece,2.6,3.8,2.5,52.14,24.03,28.11,4.66,3.82,0.84,32.35,10.85,74.31,11.83,9.97,3.89
Hungary,2.3,3.7,2.4,45.25,20.43,24.82,7.07,5.71,1.37,34.42,13.25,74.98,13.16,8.71,3.16
Ireland,2.4,4.0,2.7,53.03,29.45,23.58,6.93,6.12,0.8,23.14,16.91,69.02,12.42,12.18,6.38
Italy,2.2,3.6,2.4,46.7,20.91,25.8,7.27,5.65,1.63,36.64,9.38,77.79,12.26,8.28,1.66
Japan,2.21,3.85,2.73,45.07,15.67,29.4,2.5,2.26,0.25,37.97,14.45,81.94,8.78,7.17,2.11
Korea,2.21,3.55,2.34,43.48,26.25,17.23,9.13,6.85,2.28,35.47,11.93,78.52,9.0,9.82,2.66
Latvia,2.1,3.7,2.5,27.8,12.21,15.6,13.44,11.21,2.23,41.08,17.68,74.8,14.05,8.32,2.83
Lithuania,1.7,3.7,2.4,50.09,23.74,26.35,7.18,6.68,0.5,35.16,7.58,80.44,11.06,7.0,1.51
Luxembourg,2.3,3.7,2.5,53.06,26.86,26.2,6.63,5.39,1.24,28.87,11.44,73.0,12.49,12.07,2.41
Malta,2.5,3.7,2.5,46.92,21.11,25.81,5.68,4.56,1.12,32.51,14.89,76.49,12.68,7.81,2.98
Netherlands,2.0,3.9,2.6,53.6,23.01,30.59,6.1,5.0,1.09,38.5,1.8,78.65,8.78,9.27,3.3
Norway,2.0,3.9,2.4,47.04,23.0,24.05,6.31,4.77,1.55,42.14,4.51,76.87,10.53,9.14,3.47
Poland,2.3,3.7,2.5,48.32,23.92,24.4,5.97,5.15,0.82,23.44,22.27,74.39,12.91,9.84,2.86
Portugal,2.4,3.5,2.4,57.17,25.77,31.41,7.22,6.24,0.98,24.77,10.83,74.35,15.87,8.18,1.6
Romania,2.5,3.8,2.4,45.66,20.73,24.93,6.5,4.56,1.94,33.63,14.21,72.46,14.29,9.24,4.02
Slovak Republic,3.1,3.8,2.5,37.15,16.99,20.16,6.23,5.39,0.84,31.4,25.21,64.41,17.09,14.49,4.02
Slovenia,2.4,3.9,2.5,45.41,20.97,24.44,6.93,5.57,1.36,34.0,13.66,75.0,11.25,10.2,3.56
Spain,2.5,3.7,2.4,50.87,25.46,25.41,8.57,6.89,1.69,26.98,13.58,74.61,13.54,8.95,2.9
Sweden,2.1,3.9,2.6,49.27,22.49,26.78,6.67,4.91,1.76,39.24,4.82,74.84,10.77,9.83,4.56
Türkiye,3.2,4.1,2.8,54.38,40.84,13.54,10.06,7.75,2.31,18.88,16.68,57.62,17.42,14.5,10.45
