region,iso_code,indicator,year,age_group,percentage,number,process
World,900,Married or in-union women,1970,15-19,22.58,71867,Estimate
World,900,Married or in-union women,1970,20-24,63.8,162860,Estimate
World,900,Married or in-union women,1970,25-29,87.17,182681,Estimate
World,900,Married or in-union women,1970,30-34,90.83,179121,Estimate
World,900,Married or in-union women,1970,35-39,90.28,161526,Estimate
World,900,Married or in-union women,1970,40-44,86.48,139334,Estimate
World,900,Married or in-union women,1970,45-49,82.68,116088,Estimate
World,900,Married or in-union women,1970,15-49,69.38,1013479,Estimate
World,900,Married or in-union women,1971,15-19,22.63,74127,Estimate
World,900,Married or in-union women,1971,20-24,63.61,170087,Estimate
World,900,Married or in-union women,1971,25-29,87.11,185938,Estimate
World,900,Married or in-union women,1971,30-34,90.74,180573,Estimate
World,900,Married or in-union women,1971,35-39,90.26,164113,Estimate
World,900,Married or in-union women,1971,40-44,86.46,141616,Estimate
World,900,Married or in-union women,1971,45-49,82.59,118704,Estimate
World,900,Married or in-union women,1971,15-49,69.16,1035162,Estimate
World,900,Married or in-union women,1972,15-19,22.53,75650,Estimate
World,900,Married or in-union women,1972,20-24,63.37,176983,Estimate
World,900,Married or in-union women,1972,25-29,86.96,191195,Estimate
World,900,Married or in-union women,1972,30-34,90.66,181572,Estimate
World,900,Married or in-union women,1972,35-39,90.21,166846,Estimate
World,900,Married or in-union women,1972,40-44,86.48,143850,Estimate
World,900,Married or in-union women,1972,45-49,82.56,121193,Estimate
World,900,Married or in-union women,1972,15-49,68.96,1057292,Estimate
World,900,Married or in-union women,1973,15-19,22.48,77041,Estimate
World,900,Married or in-union women,1973,20-24,63.21,184227,Estimate
World,900,Married or in-union women,1973,25-29,86.8,198046,Estimate
World,900,Married or in-union women,1973,30-34,90.59,182292,Estimate
World,900,Married or in-union women,1973,35-39,90.12,169250,Estimate
World,900,Married or in-union women,1973,40-44,86.52,145979,Estimate
World,900,Married or in-union women,1973,45-49,82.55,123847,Estimate
World,900,Married or in-union women,1973,15-49,68.83,1080685,Estimate
World,900,Married or in-union women,1974,15-19,22.56,78191,Estimate
World,900,Married or in-union women,1974,20-24,63.07,190980,Estimate
World,900,Married or in-union women,1974,25-29,86.66,206446,Estimate
World,900,Married or in-union women,1974,30-34,90.53,183473,Estimate
World,900,Married or in-union women,1974,35-39,90.0,171241,Estimate
World,900,Married or in-union women,1974,40-44,86.56,148148,Estimate
World,900,Married or in-union women,1974,45-49,82.55,126272,Estimate
World,900,Married or in-union women,1974,15-49,68.85,1104754,Estimate
World,900,Married or in-union women,1975,15-19,22.73,79075,Estimate
World,900,Married or in-union women,1975,20-24,62.9,197075,Estimate
World,900,Married or in-union women,1975,25-29,86.54,216731,Estimate
World,900,Married or in-union women,1975,30-34,90.49,185363,Estimate
World,900,Married or in-union women,1975,35-39,89.9,172924,Estimate
World,900,Married or in-union women,1975,40-44,86.61,150482,Estimate
World,900,Married or in-union women,1975,45-49,82.55,128549,Estimate
World,900,Married or in-union women,1975,15-49,68.99,1130202,Estimate
World,900,Married or in-union women,1976,15-19,22.9,79901,Estimate
World,900,Married or in-union women,1976,20-24,62.75,202395,Estimate
World,900,Married or in-union women,1976,25-29,86.46,226987,Estimate
World,900,Married or in-union women,1976,30-34,90.43,188816,Estimate
World,900,Married or in-union women,1976,35-39,89.83,174462,Estimate
World,900,Married or in-union women,1976,40-44,86.63,153088,Estimate
World,900,Married or in-union women,1976,45-49,82.59,130835,Estimate
World,900,Married or in-union women,1976,15-49,69.16,1156488,Estimate
World,900,Married or in-union women,1977,15-19,22.86,80834,Estimate
World,900,Married or in-union women,1977,20-24,62.6,207180,Estimate
World,900,Married or in-union women,1977,25-29,86.44,237286,Estimate
World,900,Married or in-union women,1977,30-34,90.35,194560,Estimate
World,900,Married or in-union women,1977,35-39,89.78,175632,Estimate
World,900,Married or in-union women,1977,40-44,86.63,155818,Estimate
World,900,Married or in-union women,1977,45-49,82.65,133019,Estimate
World,900,Married or in-union women,1977,15-49,69.23,1184331,Estimate
World,900,Married or in-union women,1978,15-19,22.44,82032,Estimate
World,900,Married or in-union women,1978,20-24,62.45,211210,Estimate
World,900,Married or in-union women,1978,25-29,86.43,247954,Estimate
World,900,Married or in-union women,1978,30-34,90.27,201985,Estimate
World,900,Married or in-union women,1978,35-39,89.75,176515,Estimate
World,900,Married or in-union women,1978,40-44,86.59,158224,Estimate
World,900,Married or in-union women,1978,45-49,82.73,135100,Estimate
World,900,Married or in-union women,1978,15-49,69.03,1213023,Estimate
World,900,Married or in-union women,1979,15-19,21.83,83307,Estimate
World,900,Married or in-union women,1979,20-24,62.35,213532,Estimate
World,900,Married or in-union women,1979,25-29,86.38,257881,Estimate
World,900,Married or in-union women,1979,30-34,90.2,210961,Estimate
World,900,Married or in-union women,1979,35-39,89.73,177816,Estimate
World,900,Married or in-union women,1979,40-44,86.53,160197,Estimate
World,900,Married or in-union women,1979,45-49,82.82,137221,Estimate
World,900,Married or in-union women,1979,15-49,68.73,1240918,Estimate
World,900,Married or in-union women,1980,15-19,21.23,84413,Estimate
World,900,Married or in-union women,1980,20-24,62.29,214347,Estimate
World,900,Married or in-union women,1980,25-29,86.28,266966,Estimate
World,900,Married or in-union women,1980,30-34,90.16,221894,Estimate
World,900,Married or in-union women,1980,35-39,89.72,179827,Estimate
World,900,Married or in-union women,1980,40-44,86.47,161914,Estimate
World,900,Married or in-union women,1980,45-49,82.9,139500,Estimate
World,900,Married or in-union women,1980,15-49,68.47,1268864,Estimate
World,900,Married or in-union women,1981,15-19,20.64,85412,Estimate
World,900,Married or in-union women,1981,20-24,62.2,214841,Estimate
World,900,Married or in-union women,1981,25-29,86.12,274722,Estimate
World,900,Married or in-union women,1981,30-34,90.13,232885,Estimate
World,900,Married or in-union women,1981,35-39,89.69,183423,Estimate
World,900,Married or in-union women,1981,40-44,86.44,163634,Estimate
World,900,Married or in-union women,1981,45-49,82.95,142056,Estimate
World,900,Married or in-union women,1981,15-49,68.2,1296975,Estimate
World,900,Married or in-union women,1982,15-19,20.28,86150,Estimate
World,900,Married or in-union women,1982,20-24,62.0,217083,Estimate
World,900,Married or in-union women,1982,25-29,85.91,281508,Estimate
World,900,Married or in-union women,1982,30-34,90.14,243904,Estimate
World,900,Married or in-union women,1982,35-39,89.62,189255,Estimate
World,900,Married or in-union women,1982,40-44,86.42,165048,Estimate
World,900,Married or in-union women,1982,45-49,82.97,144769,Estimate
World,900,Married or in-union women,1982,15-49,68.09,1327721,Estimate
World,900,Married or in-union women,1983,15-19,20.13,86499,Estimate
World,900,Married or in-union women,1983,20-24,61.44,222495,Estimate
World,900,Married or in-union women,1983,25-29,85.5,286463,Estimate
World,900,Married or in-union women,1983,30-34,90.09,255083,Estimate
World,900,Married or in-union women,1983,35-39,89.54,196690,Estimate
World,900,Married or in-union women,1983,40-44,86.41,166142,Estimate
World,900,Married or in-union women,1983,45-49,82.96,147259,Estimate
World,900,Married or in-union women,1983,15-49,68.05,1360633,Estimate
World,900,Married or in-union women,1984,15-19,19.96,86838,Estimate
World,900,Married or in-union women,1984,20-24,60.78,229838,Estimate
World,900,Married or in-union women,1984,25-29,85.01,288440,Estimate
World,900,Married or in-union women,1984,30-34,90.01,265396,Estimate
World,900,Married or in-union women,1984,35-39,89.47,205701,Estimate
World,900,Married or in-union women,1984,40-44,86.42,167621,Estimate
World,900,Married or in-union women,1984,45-49,82.92,149415,Estimate
World,900,Married or in-union women,1984,15-49,67.92,1393252,Estimate
World,900,Married or in-union women,1985,15-19,19.73,87192,Estimate
World,900,Married or in-union women,1985,20-24,60.11,236922,Estimate
World,900,Married or in-union women,1985,25-29,84.48,287953,Estimate
World,900,Married or in-union women,1985,30-34,89.89,274759,Estimate
World,900,Married or in-union women,1985,35-39,89.41,216610,Estimate
World,900,Married or in-union women,1985,40-44,86.45,169720,Estimate
World,900,Married or in-union women,1985,45-49,82.9,151297,Estimate
World,900,Married or in-union women,1985,15-49,67.71,1424456,Estimate
World,900,Married or in-union women,1986,15-19,19.49,87593,Estimate
World,900,Married or in-union women,1986,20-24,59.44,243678,Estimate
World,900,Married or in-union women,1986,25-29,83.96,287224,Estimate
World,900,Married or in-union women,1986,30-34,89.73,282801,Estimate
World,900,Married or in-union women,1986,35-39,89.39,227527,Estimate
World,900,Married or in-union women,1986,40-44,86.46,173292,Estimate
World,900,Married or in-union women,1986,45-49,82.91,153120,Estimate
World,900,Married or in-union women,1986,15-49,67.49,1455238,Estimate
World,900,Married or in-union women,1987,15-19,19.26,88003,Estimate
World,900,Married or in-union women,1987,20-24,58.88,247728,Estimate
World,900,Married or in-union women,1987,25-29,83.54,289598,Estimate
World,900,Married or in-union women,1987,30-34,89.55,289799,Estimate
World,900,Married or in-union women,1987,35-39,89.4,238453,Estimate
World,900,Married or in-union women,1987,40-44,86.45,179030,Estimate
World,900,Married or in-union women,1987,45-49,82.94,154645,Estimate
World,900,Married or in-union women,1987,15-49,67.35,1487260,Estimate
World,900,Married or in-union women,1988,15-19,19.09,88316,Estimate
World,900,Married or in-union women,1988,20-24,58.45,248783,Estimate
World,900,Married or in-union women,1988,25-29,83.28,298566,Estimate
World,900,Married or in-union women,1988,30-34,89.33,295511,Estimate
World,900,Married or in-union women,1988,35-39,89.4,249655,Estimate
World,900,Married or in-union women,1988,40-44,86.45,186359,Estimate
World,900,Married or in-union women,1988,45-49,82.99,155868,Estimate
World,900,Married or in-union women,1988,15-49,67.38,1523061,Estimate
World,900,Married or in-union women,1989,15-19,19.0,88471,Estimate
World,900,Married or in-union women,1989,20-24,58.01,249930,Estimate
World,900,Married or in-union women,1989,25-29,83.09,311043,Estimate
World,900,Married or in-union women,1989,30-34,89.04,298270,Estimate
World,900,Married or in-union women,1989,35-39,89.38,259935,Estimate
World,900,Married or in-union women,1989,40-44,86.47,195208,Estimate
World,900,Married or in-union women,1989,45-49,83.07,157444,Estimate
World,900,Married or in-union women,1989,15-49,67.49,1560304,Estimate
World,900,Married or in-union women,1990,15-19,18.97,88466,Estimate
