sex,year,1900_birthcohort,1920_birthcohort,1940_birthcohort,1960_birthcohort,1970_birthcohort
Men,17,0.0,0.0,0.0,0.1,0.0
Men,18,0.1,0.1,0.4,0.6,0.1
Men,19,0.8,0.6,2.0,2.5,0.7
Men,20,2.4,2.2,6.0,6.2,1.9
Men,21,6.1,7.4,13.6,11.9,3.9
Men,22,13.5,16.8,25.8,18.8,6.8
Men,23,21.4,26.8,38.1,26.2,10.5
Men,24,30.2,34.4,49.8,33.7,14.8
Men,25,39.6,41.6,59.7,40.6,19.4
Men,26,48.3,51.0,67.7,46.8,24.1
Men,27,55.8,59.2,73.5,52.2,28.7
Men,28,62.7,66.3,77.7,56.8,33.1
Men,29,68.3,72.0,81.0,60.6,37.4
Men,30,72.9,76.4,83.3,63.9,41.4
Men,31,76.5,79.7,85.1,66.6,45.1
Men,32,79.3,82.2,86.5,68.8,48.2
Men,33,81.5,84.1,87.6,70.8,51.1
Men,34,83.2,85.5,88.5,72.4,53.7
Men,35,84.8,86.7,89.1,73.7,56.3
Men,36,86.1,87.6,89.7,74.8,58.3
Men,37,87.1,88.4,90.1,75.8,59.8
Men,38,88.1,89.0,90.5,76.6,61.3
Men,39,88.8,89.5,90.8,77.4,62.6
Men,40,89.6,89.9,91.1,78.0,64.0
Men,41,90.2,90.3,91.4,78.6,65.0
Men,42,90.7,90.6,91.6,79.1,65.8
Men,43,91.1,90.8,91.7,79.5,66.7
Men,44,91.5,91.1,91.8,80.0,67.5
Men,45,91.8,91.3,92.0,80.5,68.2
Men,46,92.1,91.4,92.1,80.8,68.8
Men,47,92.3,91.6,92.2,81.0,69.4
Men,48,92.5,91.7,92.3,81.3,69.9
Men,49,92.7,91.8,92.3,81.5,70.3
Men,50,92.9,91.9,92.4,81.7,70.8
Women,17,0.1,0.3,1.0,1.3,0.4
Women,18,0.4,1.6,4.6,4.6,1.3
Women,19,2.1,5.3,13.4,12.1,3.8
Women,20,6.8,13.3,27.0,21.5,7.6
Women,21,14.6,26.1,42.2,31.5,12.7
Women,22,24.3,39.3,57.5,40.6,18.2
Women,23,32.7,49.5,68.2,48.4,24.0
Women,24,40.8,56.1,75.5,55.1,29.7
Women,25,48.5,61.8,80.6,60.7,35.2
Women,26,55.1,68.3,84.2,65.2,40.1
Women,27,60.4,73.4,86.6,68.9,44.7
Women,28,65.0,77.4,88.4,72.0,48.8
Women,29,68.7,80.4,89.8,74.5,52.4
Women,30,71.6,82.7,90.9,76.7,55.8
Women,31,73.9,84.5,91.7,78.4,58.7
Women,32,75.5,85.8,92.4,79.9,61.0
Women,33,76.8,86.8,93.0,81.1,63.1
Women,34,78.0,87.7,93.4,82.0,64.9
Women,35,79.0,88.3,93.8,82.8,66.7
Women,36,79.9,88.9,94.2,83.5,68.2
Women,37,80.6,89.4,94.4,84.1,69.4
Women,38,81.2,89.8,94.6,84.5,70.5
Women,39,81.8,90.2,94.8,85.0,71.3
Women,40,82.4,90.5,95.0,85.3,72.0
Women,41,82.9,90.7,95.1,85.7,72.7
Women,42,83.3,90.9,95.2,85.9,73.2
Women,43,83.7,91.1,95.3,86.2,73.7
Women,44,84.0,91.3,95.4,86.5,74.1
Women,45,84.2,91.4,95.4,86.7,74.5
Women,46,84.5,91.6,95.5,86.9,75.0
Women,47,84.8,91.7,95.6,87.0,75.4
Women,48,85.0,91.8,95.6,87.2,75.7
Women,49,85.2,91.9,95.7,87.3,76.0
Women,50,85.4,92.0,95.7,87.5,76.3
