country,year,value,category,sex,indicator,unit,source
Austria,1960,13.0,total,all,mean_age_first_marriage,%,OECD
Czech Republic,1960,4.9,total,all,mean_age_first_marriage,%,OECD
Denmark,1960,7.8,total,all,mean_age_first_marriage,%,OECD
Finland,1960,4.0,total,all,mean_age_first_marriage,%,OECD
Germany,1960,7.6,total,all,mean_age_first_marriage,%,OECD
Greece,1960,1.2,total,all,mean_age_first_marriage,%,OECD
Hungary,1960,5.5,total,all,mean_age_first_marriage,%,OECD
Italy,1960,2.4,total,all,mean_age_first_marriage,%,OECD
Latvia,1960,11.9,total,all,mean_age_first_marriage,%,OECD
Luxembourg,1960,3.2,total,all,mean_age_first_marriage,%,OECD
Netherlands,1960,1.4,total,all,mean_age_first_marriage,%,OECD
New Zealand,1960,4.6,total,all,mean_age_first_marriage,%,OECD
Norway,1960,3.7,total,all,mean_age_first_marriage,%,OECD
Portugal,1960,9.5,total,all,mean_age_first_marriage,%,OECD
Slovak Republic,1960,4.7,total,all,mean_age_first_marriage,%,OECD
Slovenia,1960,9.1,total,all,mean_age_first_marriage,%,OECD
Spain,1960,2.3,total,all,mean_age_first_marriage,%,OECD
Sweden,1960,11.3,total,all,mean_age_first_marriage,%,OECD
Switzerland,1960,3.8,total,all,mean_age_first_marriage,%,OECD
United States,1960,5.3,total,all,mean_age_first_marriage,%,OECD
Bulgaria,1960,8.0,total,all,mean_age_first_marriage,%,OECD
Croatia,1960,7.4,total,all,mean_age_first_marriage,%,OECD
Austria,1961,12.6,total,all,mean_age_first_marriage,%,OECD
Czech Republic,1961,4.6,total,all,mean_age_first_marriage,%,OECD
Denmark,1961,8.0,total,all,mean_age_first_marriage,%,OECD
Finland,1961,4.1,total,all,mean_age_first_marriage,%,OECD
Germany,1961,7.1,total,all,mean_age_first_marriage,%,OECD
Greece,1961,1.2,total,all,mean_age_first_marriage,%,OECD
Hungary,1961,5.5,total,all,mean_age_first_marriage,%,OECD
Italy,1961,2.4,total,all,mean_age_first_marriage,%,OECD
Latvia,1961,12.3,total,all,mean_age_first_marriage,%,OECD
Luxembourg,1961,3.4,total,all,mean_age_first_marriage,%,OECD
Netherlands,1961,1.4,total,all,mean_age_first_marriage,%,OECD
New Zealand,1961,5.1,total,all,mean_age_first_marriage,%,OECD
Norway,1961,3.7,total,all,mean_age_first_marriage,%,OECD
Portugal,1961,8.8,total,all,mean_age_first_marriage,%,OECD
Slovak Republic,1961,4.4,total,all,mean_age_first_marriage,%,OECD
Slovenia,1961,10.0,total,all,mean_age_first_marriage,%,OECD
Spain,1961,2.2,total,all,mean_age_first_marriage,%,OECD
Sweden,1961,11.7,total,all,mean_age_first_marriage,%,OECD
Switzerland,1961,4.0,total,all,mean_age_first_marriage,%,OECD
United States,1961,5.6,total,all,mean_age_first_marriage,%,OECD
Bulgaria,1961,8.0,total,all,mean_age_first_marriage,%,OECD
Croatia,1961,7.1,total,all,mean_age_first_marriage,%,OECD
Austria,1962,12.0,total,all,mean_age_first_marriage,%,OECD
Czech Republic,1962,4.5,total,all,mean_age_first_marriage,%,OECD
Denmark,1962,8.3,total,all,mean_age_first_marriage,%,OECD
Finland,1962,4.0,total,all,mean_age_first_marriage,%,OECD
Germany,1962,6.6,total,all,mean_age_first_marriage,%,OECD
Greece,1962,1.2,total,all,mean_age_first_marriage,%,OECD
Hungary,1962,5.4,total,all,mean_age_first_marriage,%,OECD
Italy,1962,2.2,total,all,mean_age_first_marriage,%,OECD
Latvia,1962,12.4,total,all,mean_age_first_marriage,%,OECD
Luxembourg,1962,3.1,total,all,mean_age_first_marriage,%,OECD
Netherlands,1962,1.5,total,all,mean_age_first_marriage,%,OECD
New Zealand,1962,8.0,total,all,mean_age_first_marriage,%,OECD
Norway,1962,3.8,total,all,mean_age_first_marriage,%,OECD
Portugal,1962,8.5,total,all,mean_age_first_marriage,%,OECD
Slovak Republic,1962,4.6,total,all,mean_age_first_marriage,%,OECD
Slovenia,1962,10.1,total,all,mean_age_first_marriage,%,OECD
Spain,1962,2.1,total,all,mean_age_first_marriage,%,OECD
Sweden,1962,12.4,total,all,mean_age_first_marriage,%,OECD
Switzerland,1962,4.2,total,all,mean_age_first_marriage,%,OECD
United States,1962,5.9,total,all,mean_age_first_marriage,%,OECD
Bulgaria,1962,8.1,total,all,mean_age_first_marriage,%,OECD
Croatia,1962,6.5,total,all,mean_age_first_marriage,%,OECD
Austria,1963,11.6,total,all,mean_age_first_marriage,%,OECD
Czech Republic,1963,4.7,total,all,mean_age_first_marriage,%,OECD
Denmark,1963,8.9,total,all,mean_age_first_marriage,%,OECD
Finland,1963,4.2,total,all,mean_age_first_marriage,%,OECD
Germany,1963,6.1,total,all,mean_age_first_marriage,%,OECD
Greece,1963,1.2,total,all,mean_age_first_marriage,%,OECD
Hungary,1963,5.3,total,all,mean_age_first_marriage,%,OECD
Italy,1963,2.2,total,all,mean_age_first_marriage,%,OECD
Latvia,1963,12.3,total,all,mean_age_first_marriage,%,OECD
Luxembourg,1963,3.1,total,all,mean_age_first_marriage,%,OECD
Netherlands,1963,1.6,total,all,mean_age_first_marriage,%,OECD
New Zealand,1963,8.8,total,all,mean_age_first_marriage,%,OECD
Norway,1963,3.9,total,all,mean_age_first_marriage,%,OECD
Portugal,1963,8.2,total,all,mean_age_first_marriage,%,OECD
Slovak Republic,1963,4.7,total,all,mean_age_first_marriage,%,OECD
Slovenia,1963,9.8,total,all,mean_age_first_marriage,%,OECD
Spain,1963,1.9,total,all,mean_age_first_marriage,%,OECD
Sweden,1963,12.6,total,all,mean_age_first_marriage,%,OECD
Switzerland,1963,4.1,total,all,mean_age_first_marriage,%,OECD
United States,1963,6.3,total,all,mean_age_first_marriage,%,OECD
Bulgaria,1963,8.4,total,all,mean_age_first_marriage,%,OECD
Croatia,1963,6.9,total,all,mean_age_first_marriage,%,OECD
Austria,1964,11.3,total,all,mean_age_first_marriage,%,OECD
Czech Republic,1964,4.8,total,all,mean_age_first_marriage,%,OECD
Denmark,1964,9.3,total,all,mean_age_first_marriage,%,OECD
Finland,1964,4.4,total,all,mean_age_first_marriage,%,OECD
Germany,1964,5.9,total,all,mean_age_first_marriage,%,OECD
Greece,1964,1.1,total,all,mean_age_first_marriage,%,OECD
Hungary,1964,5.2,total,all,mean_age_first_marriage,%,OECD
Italy,1964,2.0,total,all,mean_age_first_marriage,%,OECD
Latvia,1964,12.8,total,all,mean_age_first_marriage,%,OECD
Luxembourg,1964,3.2,total,all,mean_age_first_marriage,%,OECD
Netherlands,1964,1.7,total,all,mean_age_first_marriage,%,OECD
New Zealand,1964,9.9,total,all,mean_age_first_marriage,%,OECD
Norway,1964,4.2,total,all,mean_age_first_marriage,%,OECD
Portugal,1964,8.0,total,all,mean_age_first_marriage,%,OECD
Slovak Republic,1964,5.0,total,all,mean_age_first_marriage,%,OECD
Slovenia,1964,9.2,total,all,mean_age_first_marriage,%,OECD
Spain,1964,1.8,total,all,mean_age_first_marriage,%,OECD
Sweden,1964,13.1,total,all,mean_age_first_marriage,%,OECD
Switzerland,1964,4.2,total,all,mean_age_first_marriage,%,OECD
United States,1964,6.9,total,all,mean_age_first_marriage,%,OECD
Bulgaria,1964,8.8,total,all,mean_age_first_marriage,%,OECD
Croatia,1964,6.8,total,all,mean_age_first_marriage,%,OECD
Austria,1965,11.2,total,all,mean_age_first_marriage,%,OECD
Czech Republic,1965,5.0,total,all,mean_age_first_marriage,%,OECD
Denmark,1965,9.5,total,all,mean_age_first_marriage,%,OECD
Finland,1965,4.6,total,all,mean_age_first_marriage,%,OECD
Germany,1965,5.8,total,all,mean_age_first_marriage,%,OECD
Greece,1965,1.1,total,all,mean_age_first_marriage,%,OECD
Hungary,1965,5.2,total,all,mean_age_first_marriage,%,OECD
Italy,1965,2.0,total,all,mean_age_first_marriage,%,OECD
Latvia,1965,13.3,total,all,mean_age_first_marriage,%,OECD
Luxembourg,1965,3.7,total,all,mean_age_first_marriage,%,OECD
Netherlands,1965,1.8,total,all,mean_age_first_marriage,%,OECD
New Zealand,1965,10.9,total,all,mean_age_first_marriage,%,OECD
Norway,1965,4.6,total,all,mean_age_first_marriage,%,OECD
Portugal,1965,7.8,total,all,mean_age_first_marriage,%,OECD
Slovak Republic,1965,5.3,total,all,mean_age_first_marriage,%,OECD
Slovenia,1965,9.2,total,all,mean_age_first_marriage,%,OECD
Spain,1965,1.7,total,all,mean_age_first_marriage,%,OECD
Sweden,1965,13.8,total,all,mean_age_first_marriage,%,OECD
Switzerland,1965,3.9,total,all,mean_age_first_marriage,%,OECD
United States,1965,7.7,total,all,mean_age_first_marriage,%,OECD
Bulgaria,1965,9.4,total,all,mean_age_first_marriage,%,OECD
Croatia,1965,6.0,total,all,mean_age_first_marriage,%,OECD
Austria,1966,11.4,total,all,mean_age_first_marriage,%,OECD
Czech Republic,1966,5.3,total,all,mean_age_first_marriage,%,OECD
Denmark,1966,10.2,total,all,mean_age_first_marriage,%,OECD
Finland,1966,4.8,total,all,mean_age_first_marriage,%,OECD
Germany,1966,5.7,total,all,mean_age_first_marriage,%,OECD
Greece,1966,1.0,total,all,mean_age_first_marriage,%,OECD
Hungary,1966,5.1,total,all,mean_age_first_marriage,%,OECD
Italy,1966,2.0,total,all,mean_age_first_marriage,%,OECD
Latvia,1966,12.6,total,all,mean_age_first_marriage,%,OECD
Luxembourg,1966,3.2,total,all,mean_age_first_marriage,%,OECD
Netherlands,1966,2.0,total,all,mean_age_first_marriage,%,OECD
New Zealand,1966,11.6,total,all,mean_age_first_marriage,%,OECD
Norway,1966,4.9,total,all,mean_age_first_marriage,%,OECD
Portugal,1966,7.5,total,all,mean_age_first_marriage,%,OECD
Slovak Republic,1966,5.3,total,all,mean_age_first_marriage,%,OECD
Slovenia,1966,8.7,total,all,mean_age_first_marriage,%,OECD
Spain,1966,1.6,total,all,mean_age_first_marriage,%,OECD
Sweden,1966,14.5,total,all,mean_age_first_marriage,%,OECD
Switzerland,1966,3.8,total,all,mean_age_first_marriage,%,OECD
United States,1966,8.4,total,all,mean_age_first_marriage,%,OECD
Bulgaria,1966,9.6,total,all,mean_age_first_marriage,%,OECD
Croatia,1966,5.7,total,all,mean_age_first_marriage,%,OECD
Austria,1967,11.5,total,all,mean_age_first_marriage,%,OECD
Czech Republic,1967,5.3,total,all,mean_age_first_marriage,%,OECD
Denmark,1967,11.1,total,all,mean_age_first_marriage,%,OECD
Finland,1967,5.1,total,all,mean_age_first_marriage,%,OECD
Germany,1967,5.8,total,all,mean_age_first_marriage,%,OECD
Greece,1967,1.0,total,all,mean_age_first_marriage,%,OECD
Hungary,1967,5.0,total,all,mean_age_first_marriage,%,OECD
Italy,1967,2.0,total,all,mean_age_first_marriage,%,OECD
Latvia,1967,12.3,total,all,mean_age_first_marriage,%,OECD
Luxembourg,1967,3.5,total,all,mean_age_first_marriage,%,OECD
Netherlands,1967,2.1,total,all,mean_age_first_marriage,%,OECD
New Zealand,1967,12.7,total,all,mean_age_first_marriage,%,OECD
Norway,1967,5.1,total,all,mean_age_first_marriage,%,OECD
Portugal,1967,7.5,total,all,mean_age_first_marriage,%,OECD
Slovak Republic,1967,5.7,total,all,mean_age_first_marriage,%,OECD
Slovenia,1967,8.7,total,all,mean_age_first_marriage,%,OECD
Spain,1967,1.5,total,all,mean_age_first_marriage,%,OECD
Sweden,1967,15.1,total,all,mean_age_first_marriage,%,OECD
Switzerland,1967,3.9,total,all,mean_age_first_marriage,%,OECD
United States,1967,9.0,total,all,mean_age_first_marriage,%,OECD
Bulgaria,1967,9.7,total,all,mean_age_first_marriage,%,OECD
Croatia,1967,5.4,total,all,mean_age_first_marriage,%,OECD
Austria,1968,12.0,total,all,mean_age_first_marriage,%,OECD
Czech Republic,1968,5.4,total,all,mean_age_first_marriage,%,OECD
Denmark,1968,11.1,total,all,mean_age_first_marriage,%,OECD
Finland,1968,5.3,total,all,mean_age_first_marriage,%,OECD
Germany,1968,6.1,total,all,mean_age_first_marriage,%,OECD
Greece,1968,1.1,total,all,mean_age_first_marriage,%,OECD
Hungary,1968,5.0,total,all,mean_age_first_marriage,%,OECD
Italy,1968,2.0,total,all,mean_age_first_marriage,%,OECD
Latvia,1968,12.1,total,all,mean_age_first_marriage,%,OECD
Luxembourg,1968,3.2,total,all,mean_age_first_marriage,%,OECD
Netherlands,1968,2.0,total,all,mean_age_first_marriage,%,OECD
New Zealand,1968,13.0,total,all,mean_age_first_marriage,%,OECD
Norway,1968,5.6,total,all,mean_age_first_marriage,%,OECD
Portugal,1968,7.4,total,all,mean_age_first_marriage,%,OECD
Slovak Republic,1968,5.9,total,all,mean_age_first_marriage,%,OECD
Slovenia,1968,8.8,total,all,mean_age_first_marriage,%,OECD
Spain,1968,1.4,total,all,mean_age_first_marriage,%,OECD
Sweden,1968,16.0,total,all,mean_age_first_marriage,%,OECD
Switzerland,1968,3.8,total,all,mean_age_first_marriage,%,OECD
United States,1968,9.7,total,all,mean_age_first_marriage,%,OECD
Bulgaria,1968,9.6,total,all,mean_age_first_marriage,%,OECD
Croatia,1968,5.5,total,all,mean_age_first_marriage,%,OECD
Austria,1969,12.2,total,all,mean_age_first_marriage,%,OECD
Czech Republic,1969,5.5,total,all,mean_age_first_marriage,%,OECD
Denmark,1969,11.3,total,all,mean_age_first_marriage,%,OECD
Finland,1969,5.6,total,all,mean_age_first_marriage,%,OECD
Germany,1969,6.6,total,all,mean_age_first_marriage,%,OECD
Greece,1969,1.1,total,all,mean_age_first_marriage,%,OECD
Hungary,1969,5.2,total,all,mean_age_first_marriage,%,OECD
Italy,1969,2.0,total,all,mean_age_first_marriage,%,OECD
Latvia,1969,8.3,total,all,mean_age_first_marriage,%,OECD
Luxembourg,1969,3.0,total,all,mean_age_first_marriage,%,OECD
Netherlands,1969,2.2,total,all,mean_age_first_marriage,%,OECD
New Zealand,1969,13.0,total,all,mean_age_first_marriage,%,OECD
Norway,1969,6.1,total,all,mean_age_first_marriage,%,OECD
Portugal,1969,7.3,total,all,mean_age_first_marriage,%,OECD
Slovak Republic,1969,6.1,total,all,mean_age_first_marriage,%,OECD
Slovenia,1969,8.4,total,all,mean_age_first_marriage,%,OECD
Spain,1969,1.4,total,all,mean_age_first_marriage,%,OECD
Sweden,1969,16.4,total,all,mean_age_first_marriage,%,OECD
Switzerland,1969,3.8,total,all,mean_age_first_marriage,%,OECD
United States,1969,10.0,total,all,mean_age_first_marriage,%,OECD
Bulgaria,1969,9.2,total,all,mean_age_first_marriage,%,OECD
Croatia,1969,5.6,total,all,mean_age_first_marriage,%,OECD
Austria,1970,12.8,total,all,mean_age_first_marriage,%,OECD
Czech Republic,1970,5.4,total,all,mean_age_first_marriage,%,OECD
Denmark,1970,11.0,total,all,mean_age_first_marriage,%,OECD
Finland,1970,5.8,total,all,mean_age_first_marriage,%,OECD
Germany,1970,7.2,total,all,mean_age_first_marriage,%,OECD
Greece,1970,1.1,total,all,mean_age_first_marriage,%,OECD
Hungary,1970,5.4,total,all,mean_age_first_marriage,%,OECD
Italy,1970,2.2,total,all,mean_age_first_marriage,%,OECD
Latvia,1970,11.4,total,all,mean_age_first_marriage,%,OECD
Luxembourg,1970,4.0,total,all,mean_age_first_marriage,%,OECD
Netherlands,1970,2.1,total,all,mean_age_first_marriage,%,OECD
New Zealand,1970,13.3,total,all,mean_age_first_marriage,%,OECD
Norway,1970,6.9,total,all,mean_age_first_marriage,%,OECD
Portugal,1970,7.3,total,all,mean_age_first_marriage,%,OECD
Slovak Republic,1970,6.2,total,all,mean_age_first_marriage,%,OECD
Slovenia,1970,8.5,total,all,mean_age_first_marriage,%,OECD
Spain,1970,1.4,total,all,mean_age_first_marriage,%,OECD
Sweden,1970,18.6,total,all,mean_age_first_marriage,%,OECD
