country,year,indicator,category,sex,unit,value,source
Australia,2000,share_of_previous_marital_status,Single never married,all,%,75.9,OECD
Australia,2000,share_of_previous_marital_status,Divorced,all,%,22.0,OECD
Australia,2000,share_of_previous_marital_status,Widowed,all,%,2.1,OECD
Austria,2000,share_of_previous_marital_status,Single never married,all,%,76.6,OECD
Austria,2000,share_of_previous_marital_status,Divorced,all,%,22.2,OECD
Austria,2000,share_of_previous_marital_status,Widowed,all,%,1.2,OECD
Czechia,2000,share_of_previous_marital_status,Single never married,all,%,74.9,OECD
Czechia,2000,share_of_previous_marital_status,Divorced,all,%,23.7,OECD
Czechia,2000,share_of_previous_marital_status,Widowed,all,%,1.4,OECD
Denmark,2000,share_of_previous_marital_status,Single never married,all,%,75.9,OECD
Denmark,2000,share_of_previous_marital_status,Divorced,all,%,22.0,OECD
Denmark,2000,share_of_previous_marital_status,Widowed,all,%,2.1,OECD
Finland,2000,share_of_previous_marital_status,Single never married,all,%,77.8,OECD
Finland,2000,share_of_previous_marital_status,Divorced,all,%,20.7,OECD
Finland,2000,share_of_previous_marital_status,Widowed,all,%,1.5,OECD
Greece,2000,share_of_previous_marital_status,Single never married,all,%,88.4,OECD
Greece,2000,share_of_previous_marital_status,Divorced,all,%,10.2,OECD
Greece,2000,share_of_previous_marital_status,Widowed,all,%,1.4,OECD
Hungary,2000,share_of_previous_marital_status,Single never married,all,%,79.3,OECD
Hungary,2000,share_of_previous_marital_status,Divorced,all,%,19.2,OECD
Hungary,2000,share_of_previous_marital_status,Widowed,all,%,1.6,OECD
Lithuania,2000,share_of_previous_marital_status,Single never married,all,%,79.1,OECD
Lithuania,2000,share_of_previous_marital_status,Divorced,all,%,18.6,OECD
Lithuania,2000,share_of_previous_marital_status,Widowed,all,%,2.4,OECD
Luxembourg,2000,share_of_previous_marital_status,Single never married,all,%,76.3,OECD
Luxembourg,2000,share_of_previous_marital_status,Divorced,all,%,22.5,OECD
Luxembourg,2000,share_of_previous_marital_status,Widowed,all,%,1.2,OECD
New Zealand,2000,share_of_previous_marital_status,Single never married,all,%,73.6,OECD
New Zealand,2000,share_of_previous_marital_status,Divorced,all,%,23.9,OECD
New Zealand,2000,share_of_previous_marital_status,Widowed,all,%,2.5,OECD
Poland,2000,share_of_previous_marital_status,Single never married,all,%,90.2,OECD
Poland,2000,share_of_previous_marital_status,Divorced,all,%,7.3,OECD
Poland,2000,share_of_previous_marital_status,Widowed,all,%,2.5,OECD
Portugal,2000,share_of_previous_marital_status,Single never married,all,%,91.2,OECD
Portugal,2000,share_of_previous_marital_status,Divorced,all,%,7.6,OECD
Portugal,2000,share_of_previous_marital_status,Widowed,all,%,1.3,OECD
Slovak Republic,2000,share_of_previous_marital_status,Single never married,all,%,88.8,OECD
Slovak Republic,2000,share_of_previous_marital_status,Divorced,all,%,10.3,OECD
Slovak Republic,2000,share_of_previous_marital_status,Widowed,all,%,0.9,OECD
Slovenia,2000,share_of_previous_marital_status,Single never married,all,%,90.2,OECD
Slovenia,2000,share_of_previous_marital_status,Divorced,all,%,8.4,OECD
Slovenia,2000,share_of_previous_marital_status,Widowed,all,%,1.4,OECD
Spain,2000,share_of_previous_marital_status,Single never married,all,%,94.0,OECD
Spain,2000,share_of_previous_marital_status,Divorced,all,%,5.3,OECD
Spain,2000,share_of_previous_marital_status,Widowed,all,%,0.7,OECD
Sweden,2000,share_of_previous_marital_status,Single never married,all,%,78.4,OECD
Sweden,2000,share_of_previous_marital_status,Divorced,all,%,20.6,OECD
Sweden,2000,share_of_previous_marital_status,Widowed,all,%,0.9,OECD
Switzerland,2000,share_of_previous_marital_status,Single never married,all,%,78.0,OECD
Switzerland,2000,share_of_previous_marital_status,Divorced,all,%,20.7,OECD
Switzerland,2000,share_of_previous_marital_status,Widowed,all,%,1.3,OECD
Bulgaria,2000,share_of_previous_marital_status,Single never married,all,%,87.5,OECD
Bulgaria,2000,share_of_previous_marital_status,Divorced,all,%,11.4,OECD
Bulgaria,2000,share_of_previous_marital_status,Widowed,all,%,1.1,OECD
Croatia,2000,share_of_previous_marital_status,Single never married,all,%,90.8,OECD
Croatia,2000,share_of_previous_marital_status,Divorced,all,%,7.6,OECD
Croatia,2000,share_of_previous_marital_status,Widowed,all,%,1.6,OECD
Romania,2000,share_of_previous_marital_status,Single never married,all,%,85.4,OECD
Romania,2000,share_of_previous_marital_status,Divorced,all,%,12.9,OECD
Romania,2000,share_of_previous_marital_status,Widowed,all,%,1.8,OECD
Australia,2001,share_of_previous_marital_status,Single never married,all,%,76.1,OECD
Australia,2001,share_of_previous_marital_status,Divorced,all,%,21.8,OECD
Australia,2001,share_of_previous_marital_status,Widowed,all,%,2.1,OECD
Austria,2001,share_of_previous_marital_status,Single never married,all,%,74.7,OECD
Austria,2001,share_of_previous_marital_status,Divorced,all,%,24.2,OECD
Austria,2001,share_of_previous_marital_status,Widowed,all,%,1.1,OECD
Czechia,2001,share_of_previous_marital_status,Single never married,all,%,74.5,OECD
Czechia,2001,share_of_previous_marital_status,Divorced,all,%,24.2,OECD
Czechia,2001,share_of_previous_marital_status,Widowed,all,%,1.3,OECD
Denmark,2001,share_of_previous_marital_status,Single never married,all,%,76.0,OECD
Denmark,2001,share_of_previous_marital_status,Divorced,all,%,21.9,OECD
Denmark,2001,share_of_previous_marital_status,Widowed,all,%,2.1,OECD
Finland,2001,share_of_previous_marital_status,Single never married,all,%,77.0,OECD
