country,year,indicator,unit,value,source
Australia,1960,total_fertility_rate,%,3.45,OECD
Austria,1960,total_fertility_rate,%,2.69,OECD
Belgium,1960,total_fertility_rate,%,2.54,OECD
Canada,1960,total_fertility_rate,%,3.9,OECD
Chile,1960,total_fertility_rate,%,4.7,OECD
Colombia,1960,total_fertility_rate,%,6.74,OECD
Costa Rica,1960,total_fertility_rate,%,6.71,OECD
Czechia,1960,total_fertility_rate,%,2.11,OECD
Denmark,1960,total_fertility_rate,%,2.54,OECD
Estonia,1960,total_fertility_rate,%,1.98,OECD
Finland,1960,total_fertility_rate,%,2.71,OECD
France,1960,total_fertility_rate,%,2.74,OECD
Germany,1960,total_fertility_rate,%,2.37,OECD
Greece,1960,total_fertility_rate,%,2.23,OECD
Hungary,1960,total_fertility_rate,%,2.02,OECD
Iceland,1960,total_fertility_rate,%,4.27,OECD
Ireland,1960,total_fertility_rate,%,3.76,OECD
Italy,1960,total_fertility_rate,%,2.41,OECD
Japan,1960,total_fertility_rate,%,2.0,OECD
Korea,1960,total_fertility_rate,%,6.0,OECD
Latvia,1960,total_fertility_rate,%,1.94,OECD
Lithuania,1960,total_fertility_rate,%,2.4,OECD
Luxembourg,1960,total_fertility_rate,%,2.28,OECD
Mexico,1960,total_fertility_rate,%,6.77,OECD
Netherlands,1960,total_fertility_rate,%,3.12,OECD
New Zealand,1960,total_fertility_rate,%,4.24,OECD
Norway,1960,total_fertility_rate,%,2.91,OECD
Poland,1960,total_fertility_rate,%,2.98,OECD
Portugal,1960,total_fertility_rate,%,3.1,OECD
Slovak Republic,1960,total_fertility_rate,%,3.07,OECD
Slovenia,1960,total_fertility_rate,%,2.18,OECD
Spain,1960,total_fertility_rate,%,2.86,OECD
Sweden,1960,total_fertility_rate,%,2.2,OECD
Switzerland,1960,total_fertility_rate,%,2.44,OECD
Türkiye,1960,total_fertility_rate,%,6.4,OECD
United States,1960,total_fertility_rate,%,3.65,OECD
OECD-38,1960,total_fertility_rate,%,3.34,OECD
Brazil,1960,total_fertility_rate,%,6.05,OECD
China,1960,total_fertility_rate,%,4.45,OECD
India,1960,total_fertility_rate,%,5.92,OECD
Indonesia,1960,total_fertility_rate,%,5.51,OECD
Peru,1960,total_fertility_rate,%,6.94,OECD
South Africa,1960,total_fertility_rate,%,6.11,OECD
Thailand,1960,total_fertility_rate,%,6.33,OECD
Argentina,1960,total_fertility_rate,%,3.14,OECD
Saudi Arabia,1960,total_fertility_rate,%,7.63,OECD
Bulgaria,1960,total_fertility_rate,%,2.31,OECD
Croatia,1960,total_fertility_rate,%,2.2,OECD
EU-27 average,1960,total_fertility_rate,%,2.62,OECD
Australia,1961,total_fertility_rate,%,3.55,OECD
Austria,1961,total_fertility_rate,%,2.78,OECD
Belgium,1961,total_fertility_rate,%,2.63,OECD
Canada,1961,total_fertility_rate,%,3.84,OECD
Chile,1961,total_fertility_rate,%,4.66,OECD
Colombia,1961,total_fertility_rate,%,6.71,OECD
Costa Rica,1961,total_fertility_rate,%,6.65,OECD
Czechia,1961,total_fertility_rate,%,2.13,OECD
Denmark,1961,total_fertility_rate,%,2.55,OECD
Estonia,1961,total_fertility_rate,%,1.98,OECD
Finland,1961,total_fertility_rate,%,2.65,OECD
France,1961,total_fertility_rate,%,2.82,OECD
Germany,1961,total_fertility_rate,%,2.44,OECD
Greece,1961,total_fertility_rate,%,2.13,OECD
Hungary,1961,total_fertility_rate,%,1.94,OECD
Iceland,1961,total_fertility_rate,%,3.88,OECD
Ireland,1961,total_fertility_rate,%,3.79,OECD
Italy,1961,total_fertility_rate,%,2.41,OECD
Japan,1961,total_fertility_rate,%,1.96,OECD
Korea,1961,total_fertility_rate,%,5.8,OECD
Latvia,1961,total_fertility_rate,%,1.94,OECD
Lithuania,1961,total_fertility_rate,%,2.4,OECD
Luxembourg,1961,total_fertility_rate,%,2.33,OECD
Mexico,1961,total_fertility_rate,%,6.76,OECD
Netherlands,1961,total_fertility_rate,%,3.22,OECD
New Zealand,1961,total_fertility_rate,%,4.31,OECD
Norway,1961,total_fertility_rate,%,2.94,OECD
Poland,1961,total_fertility_rate,%,2.83,OECD
Portugal,1961,total_fertility_rate,%,3.16,OECD
Slovak Republic,1961,total_fertility_rate,%,2.96,OECD
Slovenia,1961,total_fertility_rate,%,2.26,OECD
Spain,1961,total_fertility_rate,%,2.76,OECD
Sweden,1961,total_fertility_rate,%,2.23,OECD
