country,with_children,without_children,single_mother_households,single_father_households,single_person_households,other_households_types,unit,source,year
Austria,21.13,27.8,4.78,0.85,38.34,7.11,%,OECD,2021
Belgium,23.98,28.24,6.08,1.35,35.5,4.86,%,OECD,2021
Costa Rica,38.15,14.29,9.49,1.06,11.27,25.74,%,OECD,2021
Czechia,21.7,25.32,6.11,1.04,39.15,6.67,%,OECD,2021
Denmark,20.41,28.19,5.11,1.19,37.57,7.52,%,OECD,2021
Estonia,25.46,20.73,6.09,0.74,36.99,9.98,%,OECD,2021
Finland,17.06,28.58,4.5,0.93,45.34,3.6,%,OECD,2021
France,22.19,27.54,6.23,1.45,37.78,4.81,%,OECD,2021
Germany,17.89,27.89,4.44,0.98,43.14,5.67,%,OECD,2021
Greece,24.03,28.11,3.82,0.84,32.35,10.85,%,OECD,2021
Hungary,20.43,24.82,5.71,1.37,34.42,13.25,%,OECD,2021
Iceland,25.42,19.77,6.23,1.12,29.16,18.29,%,OECD,2021
Ireland,29.45,23.58,6.12,0.8,23.14,16.91,%,OECD,2021
Italy,20.91,25.8,5.65,1.63,36.64,9.38,%,OECD,2021
Japan,15.67,29.4,2.26,0.25,37.97,14.45,%,OECD,2021
Korea,26.25,17.23,6.85,2.28,35.47,11.93,%,OECD,2021
Latvia,12.21,15.6,11.21,2.23,41.08,17.68,%,OECD,2021
Lithuania,23.74,26.35,6.68,0.5,35.16,7.58,%,OECD,2021
Luxembourg,26.86,26.2,5.39,1.24,28.87,11.44,%,OECD,2021
Netherlands,23.01,30.59,5.0,1.09,38.5,1.8,%,OECD,2021
Norway,23.0,24.05,4.77,1.55,42.14,4.51,%,OECD,2021
Poland,23.92,24.4,5.15,0.82,23.44,22.27,%,OECD,2021
Portugal,25.77,31.41,6.24,0.98,24.77,10.83,%,OECD,2021
Slovak Republic,16.99,20.16,5.39,0.84,31.4,25.21,%,OECD,2021
Slovenia,20.97,24.44,5.57,1.36,34.0,13.66,%,OECD,2021
Spain,25.46,25.41,6.89,1.69,26.98,13.58,%,OECD,2021
Sweden,22.49,26.78,4.91,1.76,39.24,4.82,%,OECD,2021
Switzerland,24.05,29.72,3.88,0.82,36.88,4.65,%,OECD,2021
Türkiye,40.84,13.54,7.75,2.31,18.88,16.68,%,OECD,2021
United States,19.85,33.34,5.21,1.58,27.61,12.41,%,OECD,2021
Bulgaria,16.35,23.95,3.88,0.73,35.81,19.28,%,OECD,2021
Croatia,24.78,26.73,4.39,1.04,27.8,15.27,%,OECD,2021
Cyprus,27.42,29.5,4.94,1.23,24.49,12.43,%,OECD,2021
Malta,21.11,25.81,4.56,1.12,32.51,14.89,%,OECD,2021
Romania,20.73,24.93,4.56,1.94,33.63,14.21,%,OECD,2021
EU average,22.09,25.88,5.53,1.18,34.0,11.32,%,OECD,2021
