indicatorname,year,country,code,time,variant,sex,age,estimate_method,estimatemethod,value
Currently married (Percent),2024,Afghanistan,AFG,1970,Median,Female,15-49,2,Interpolation,80.94
Currently married (Percent),2024,Afghanistan,AFG,1971,Median,Female,15-49,2,Interpolation,80.9
Currently married (Percent),2024,Afghanistan,AFG,1972,Median,Female,15-49,2,Interpolation,80.87
Currently married (Percent),2024,Afghanistan,AFG,1973,Median,Female,15-49,2,Interpolation,80.84
Currently married (Percent),2024,Afghanistan,AFG,1974,Median,Female,15-49,2,Interpolation,80.53
Currently married (Percent),2024,Afghanistan,AFG,1975,Median,Female,15-49,2,Interpolation,80.22
Currently married (Percent),2024,Afghanistan,AFG,1976,Median,Female,15-49,2,Interpolation,79.89
Currently married (Percent),2024,Afghanistan,AFG,1977,Median,Female,15-49,2,Interpolation,79.57
Currently married (Percent),2024,Afghanistan,AFG,1978,Median,Female,15-49,2,Interpolation,79.24
Currently married (Percent),2024,Afghanistan,AFG,1979,Median,Female,15-49,2,Interpolation,78.91
Currently married (Percent),2024,Afghanistan,AFG,1980,Median,Female,15-49,2,Interpolation,78.58
Currently married (Percent),2024,Afghanistan,AFG,1981,Median,Female,15-49,2,Interpolation,78.24
Currently married (Percent),2024,Afghanistan,AFG,1982,Median,Female,15-49,2,Interpolation,77.89
Currently married (Percent),2024,Afghanistan,AFG,1983,Median,Female,15-49,2,Interpolation,77.54
Currently married (Percent),2024,Afghanistan,AFG,1984,Median,Female,15-49,2,Interpolation,77.2
Currently married (Percent),2024,Afghanistan,AFG,1985,Median,Female,15-49,2,Interpolation,76.85
Currently married (Percent),2024,Afghanistan,AFG,1986,Median,Female,15-49,2,Interpolation,76.51
Currently married (Percent),2024,Afghanistan,AFG,1987,Median,Female,15-49,2,Interpolation,76.17
Currently married (Percent),2024,Afghanistan,AFG,1988,Median,Female,15-49,2,Interpolation,75.84
Currently married (Percent),2024,Afghanistan,AFG,1989,Median,Female,15-49,2,Interpolation,75.52
Currently married (Percent),2024,Afghanistan,AFG,1990,Median,Female,15-49,2,Interpolation,75.22
Currently married (Percent),2024,Afghanistan,AFG,1991,Median,Female,15-49,2,Interpolation,74.93
Currently married (Percent),2024,Afghanistan,AFG,1992,Median,Female,15-49,2,Interpolation,74.65
Currently married (Percent),2024,Afghanistan,AFG,1993,Median,Female,15-49,2,Interpolation,74.37
Currently married (Percent),2024,Afghanistan,AFG,1994,Median,Female,15-49,2,Interpolation,74.12
Currently married (Percent),2024,Afghanistan,AFG,1995,Median,Female,15-49,2,Interpolation,73.86
Currently married (Percent),2024,Afghanistan,AFG,1996,Median,Female,15-49,2,Interpolation,73.61
Currently married (Percent),2024,Afghanistan,AFG,1997,Median,Female,15-49,2,Interpolation,73.38
Currently married (Percent),2024,Afghanistan,AFG,1998,Median,Female,15-49,2,Interpolation,73.14
Currently married (Percent),2024,Afghanistan,AFG,1999,Median,Female,15-49,2,Interpolation,72.9
Currently married (Percent),2024,Afghanistan,AFG,2000,Median,Female,15-49,2,Interpolation,72.64
Currently married (Percent),2024,Afghanistan,AFG,2001,Median,Female,15-49,2,Interpolation,72.33
Currently married (Percent),2024,Afghanistan,AFG,2002,Median,Female,15-49,2,Interpolation,71.95
Currently married (Percent),2024,Afghanistan,AFG,2003,Median,Female,15-49,2,Interpolation,71.54
Currently married (Percent),2024,Afghanistan,AFG,2004,Median,Female,15-49,2,Interpolation,71.1
Currently married (Percent),2024,Afghanistan,AFG,2005,Median,Female,15-49,2,Interpolation,70.64
Currently married (Percent),2024,Afghanistan,AFG,2006,Median,Female,15-49,2,Interpolation,70.18
Currently married (Percent),2024,Afghanistan,AFG,2007,Median,Female,15-49,2,Interpolation,69.69
Currently married (Percent),2024,Afghanistan,AFG,2008,Median,Female,15-49,2,Interpolation,69.17
Currently married (Percent),2024,Afghanistan,AFG,2009,Median,Female,15-49,2,Interpolation,68.65
Currently married (Percent),2024,Afghanistan,AFG,2010,Median,Female,15-49,2,Interpolation,68.14
Currently married (Percent),2024,Afghanistan,AFG,2011,Median,Female,15-49,2,Interpolation,67.71
Currently married (Percent),2024,Afghanistan,AFG,2012,Median,Female,15-49,2,Interpolation,67.33
Currently married (Percent),2024,Afghanistan,AFG,2013,Median,Female,15-49,2,Interpolation,67.0
Currently married (Percent),2024,Afghanistan,AFG,2014,Median,Female,15-49,2,Interpolation,66.71
Currently married (Percent),2024,Afghanistan,AFG,2015,Median,Female,15-49,2,Interpolation,66.47
Currently married (Percent),2024,Afghanistan,AFG,2016,Median,Female,15-49,2,Interpolation,66.26
Currently married (Percent),2024,Afghanistan,AFG,2017,Median,Female,15-49,2,Interpolation,66.1
Currently married (Percent),2024,Afghanistan,AFG,2018,Median,Female,15-49,2,Interpolation,65.98
Currently married (Percent),2024,Afghanistan,AFG,2019,Median,Female,15-49,2,Interpolation,65.9
Currently married (Percent),2024,Afghanistan,AFG,2020,Median,Female,15-49,2,Interpolation,65.86
Currently married (Percent),2024,Afghanistan,AFG,2021,Median,Female,15-49,2,Interpolation,65.84
Currently married (Percent),2024,Afghanistan,AFG,2022,Median,Female,15-49,2,Interpolation,65.86
Currently married (Percent),2024,Afghanistan,AFG,2023,Median,Female,15-49,2,Interpolation,65.88
Currently married (Percent),2024,Afghanistan,AFG,2024,Median,Female,15-49,3,Projection,65.85
Currently married (Percent),2024,Afghanistan,AFG,2025,Median,Female,15-49,3,Projection,65.79
Currently married (Percent),2024,Albania,ALB,1970,Median,Female,15-49,2,Interpolation,64.54
Currently married (Percent),2024,Albania,ALB,1971,Median,Female,15-49,2,Interpolation,64.32
Currently married (Percent),2024,Albania,ALB,1972,Median,Female,15-49,2,Interpolation,64.05
Currently married (Percent),2024,Albania,ALB,1973,Median,Female,15-49,2,Interpolation,63.77
Currently married (Percent),2024,Albania,ALB,1974,Median,Female,15-49,2,Interpolation,63.49
Currently married (Percent),2024,Albania,ALB,1975,Median,Female,15-49,2,Interpolation,63.24
Currently married (Percent),2024,Albania,ALB,1976,Median,Female,15-49,2,Interpolation,63.02
Currently married (Percent),2024,Albania,ALB,1977,Median,Female,15-49,2,Interpolation,62.87
Currently married (Percent),2024,Albania,ALB,1978,Median,Female,15-49,2,Interpolation,62.83
Currently married (Percent),2024,Albania,ALB,1979,Median,Female,15-49,2,Interpolation,62.97
Currently married (Percent),2024,Albania,ALB,1980,Median,Female,15-49,2,Interpolation,63.29
Currently married (Percent),2024,Albania,ALB,1981,Median,Female,15-49,2,Interpolation,63.71
Currently married (Percent),2024,Albania,ALB,1982,Median,Female,15-49,2,Interpolation,64.14
Currently married (Percent),2024,Albania,ALB,1983,Median,Female,15-49,2,Interpolation,64.53
Currently married (Percent),2024,Albania,ALB,1984,Median,Female,15-49,2,Interpolation,64.92
Currently married (Percent),2024,Albania,ALB,1985,Median,Female,15-49,2,Interpolation,65.32
Currently married (Percent),2024,Albania,ALB,1986,Median,Female,15-49,2,Interpolation,65.7
Currently married (Percent),2024,Albania,ALB,1987,Median,Female,15-49,2,Interpolation,66.05
Currently married (Percent),2024,Albania,ALB,1988,Median,Female,15-49,2,Interpolation,66.49
Currently married (Percent),2024,Albania,ALB,1989,Median,Female,15-49,2,Interpolation,67.04
Currently married (Percent),2024,Albania,ALB,1990,Median,Female,15-49,2,Interpolation,67.26
Currently married (Percent),2024,Albania,ALB,1991,Median,Female,15-49,2,Interpolation,67.42
Currently married (Percent),2024,Albania,ALB,1992,Median,Female,15-49,2,Interpolation,67.6
Currently married (Percent),2024,Albania,ALB,1993,Median,Female,15-49,2,Interpolation,67.8
Currently married (Percent),2024,Albania,ALB,1994,Median,Female,15-49,2,Interpolation,67.95
Currently married (Percent),2024,Albania,ALB,1995,Median,Female,15-49,2,Interpolation,68.06
Currently married (Percent),2024,Albania,ALB,1996,Median,Female,15-49,2,Interpolation,68.05
Currently married (Percent),2024,Albania,ALB,1997,Median,Female,15-49,2,Interpolation,67.87
Currently married (Percent),2024,Albania,ALB,1998,Median,Female,15-49,2,Interpolation,67.52
Currently married (Percent),2024,Albania,ALB,1999,Median,Female,15-49,2,Interpolation,67.05
Currently married (Percent),2024,Albania,ALB,2000,Median,Female,15-49,2,Interpolation,66.49
Currently married (Percent),2024,Albania,ALB,2001,Median,Female,15-49,2,Interpolation,66.1
Currently married (Percent),2024,Albania,ALB,2002,Median,Female,15-49,2,Interpolation,66.0
Currently married (Percent),2024,Albania,ALB,2003,Median,Female,15-49,2,Interpolation,66.01
Currently married (Percent),2024,Albania,ALB,2004,Median,Female,15-49,2,Interpolation,65.97
Currently married (Percent),2024,Albania,ALB,2005,Median,Female,15-49,2,Interpolation,65.85
Currently married (Percent),2024,Albania,ALB,2006,Median,Female,15-49,2,Interpolation,65.66
Currently married (Percent),2024,Albania,ALB,2007,Median,Female,15-49,2,Interpolation,65.39
Currently married (Percent),2024,Albania,ALB,2008,Median,Female,15-49,2,Interpolation,65.04
Currently married (Percent),2024,Albania,ALB,2009,Median,Female,15-49,2,Interpolation,64.78
Currently married (Percent),2024,Albania,ALB,2010,Median,Female,15-49,2,Interpolation,64.44
Currently married (Percent),2024,Albania,ALB,2011,Median,Female,15-49,2,Interpolation,64.13
Currently married (Percent),2024,Albania,ALB,2012,Median,Female,15-49,2,Interpolation,63.97
Currently married (Percent),2024,Albania,ALB,2013,Median,Female,15-49,2,Interpolation,63.97
Currently married (Percent),2024,Albania,ALB,2014,Median,Female,15-49,2,Interpolation,64.12
Currently married (Percent),2024,Albania,ALB,2015,Median,Female,15-49,2,Interpolation,64.37
Currently married (Percent),2024,Albania,ALB,2016,Median,Female,15-49,2,Interpolation,64.71
Currently married (Percent),2024,Albania,ALB,2017,Median,Female,15-49,2,Interpolation,65.18
Currently married (Percent),2024,Albania,ALB,2018,Median,Female,15-49,2,Interpolation,65.7
Currently married (Percent),2024,Albania,ALB,2019,Median,Female,15-49,3,Projection,66.22
Currently married (Percent),2024,Albania,ALB,2020,Median,Female,15-49,3,Projection,66.77
Currently married (Percent),2024,Albania,ALB,2021,Median,Female,15-49,3,Projection,67.35
Currently married (Percent),2024,Albania,ALB,2022,Median,Female,15-49,3,Projection,67.83
Currently married (Percent),2024,Albania,ALB,2023,Median,Female,15-49,3,Projection,68.17
Currently married (Percent),2024,Albania,ALB,2024,Median,Female,15-49,3,Projection,68.5
Currently married (Percent),2024,Albania,ALB,2025,Median,Female,15-49,3,Projection,68.79
Currently married (Percent),2024,Algeria,DZA,1970,Median,Female,15-49,2,Interpolation,66.36
Currently married (Percent),2024,Algeria,DZA,1971,Median,Female,15-49,2,Interpolation,66.02
Currently married (Percent),2024,Algeria,DZA,1972,Median,Female,15-49,2,Interpolation,65.75
Currently married (Percent),2024,Algeria,DZA,1973,Median,Female,15-49,2,Interpolation,65.55
Currently married (Percent),2024,Algeria,DZA,1974,Median,Female,15-49,2,Interpolation,65.39
Currently married (Percent),2024,Algeria,DZA,1975,Median,Female,15-49,2,Interpolation,65.4
Currently married (Percent),2024,Algeria,DZA,1976,Median,Female,15-49,2,Interpolation,65.63
Currently married (Percent),2024,Algeria,DZA,1977,Median,Female,15-49,2,Interpolation,65.73
Currently married (Percent),2024,Algeria,DZA,1978,Median,Female,15-49,2,Interpolation,65.15
Currently married (Percent),2024,Algeria,DZA,1979,Median,Female,15-49,2,Interpolation,64.57
Currently married (Percent),2024,Algeria,DZA,1980,Median,Female,15-49,2,Interpolation,63.99
Currently married (Percent),2024,Algeria,DZA,1981,Median,Female,15-49,2,Interpolation,63.44
Currently married (Percent),2024,Algeria,DZA,1982,Median,Female,15-49,2,Interpolation,62.94
Currently married (Percent),2024,Algeria,DZA,1983,Median,Female,15-49,2,Interpolation,62.49
Currently married (Percent),2024,Algeria,DZA,1984,Median,Female,15-49,2,Interpolation,62.07
Currently married (Percent),2024,Algeria,DZA,1985,Median,Female,15-49,2,Interpolation,61.67
Currently married (Percent),2024,Algeria,DZA,1986,Median,Female,15-49,2,Interpolation,61.27
Currently married (Percent),2024,Algeria,DZA,1987,Median,Female,15-49,2,Interpolation,60.88
Currently married (Percent),2024,Algeria,DZA,1988,Median,Female,15-49,2,Interpolation,60.49
Currently married (Percent),2024,Algeria,DZA,1989,Median,Female,15-49,2,Interpolation,60.11
Currently married (Percent),2024,Algeria,DZA,1990,Median,Female,15-49,2,Interpolation,59.73
Currently married (Percent),2024,Algeria,DZA,1991,Median,Female,15-49,2,Interpolation,59.41
Currently married (Percent),2024,Algeria,DZA,1992,Median,Female,15-49,2,Interpolation,59.06
