"Category","1 child","2 children","3 children or more"
"European Union",11.7,8.9,3
"",,,
"Slovakia",17.1,14.5,4
"Ireland",12.4,12.2,6.4
"Cyprus",13.9,11.7,3.1
"Czechia",13.9,11.6,2.6
"Romania",14.3,9.2,4
"Luxembourg",12.5,12.1,2.4
"Belgium",11.8,10.2,4.1
"Croatia",12,10.1,3.8
"Greece",11.8,10,3.9
"Poland",12.9,9.8,2.9
"Portugal",15.9,8.2,1.6
"Spain",13.5,8.9,2.9
"Latvia",14.1,8.3,2.8
"Sweden",10.8,9.8,4.6
"Hungary",13.2,8.7,3.2
"Slovenia",11.2,10.2,3.6
"France",11.4,9.2,4
"Estonia",12.5,8.7,3
"Malta",12.7,7.8,3
"Austria",10.5,8.6,3.1
"Denmark",10.5,8.9,2.7
"Italy",12.3,8.3,1.7
"Bulgaria",12.9,7.5,1.4
"Netherlands",8.8,9.3,3.3
"Germany",9.9,7.7,2.5
"Lithuania",11.1,7,1.5
"Finland",7.9,7,3.1
"",,,
"Norway",10.5,9.1,3.5
"",,,
"Serbia",12.6,9.8,3.6
