STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,COU,Country,SEX,Sex,IND,Indicator,TIME_PERIOD,Year,OBS_VALUE,Observation Value,OBS_STATUS,Observation Status,UNIT_MEASURE,Unit of Measures,UNIT_MULT,Multiplier,BASE_PER,Base reference period
DATAFLOW,OECD:DF_FAMILY(1.0),Family Database,I,LVA,Latvia,TOTAL,Total,FAM3,Share of births outside of marriage (% of all births),2018,,39.5,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_FAMILY(1.0),Family Database,I,GRC,Greece,TOTAL,Total,FAM3,Share of births outside of marriage (% of all births),2018,,11.1,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_FAMILY(1.0),Family Database,I,CHL,Chile,TOTAL,Total,FAM3,Share of births outside of marriage (% of all births),2018,,74.8,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_FAMILY(1.0),Family Database,I,NLD,Netherlands,TOTAL,Total,FAM3,Share of births outside of marriage (% of all births),2018,,51.9,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_FAMILY(1.0),Family Database,I,LTU,Lithuania,TOTAL,Total,FAM3,Share of births outside of marriage (% of all births),2018,,26.4,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_FAMILY(1.0),Family Database,I,CAN,Canada,TOTAL,Total,FAM3,Share of births outside of marriage (% of all births),2018,,33.4,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_FAMILY(1.0),Family Database,I,PRT,Portugal,TOTAL,Total,FAM3,Share of births outside of marriage (% of all births),2018,,55.9,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_FAMILY(1.0),Family Database,I,ITA,Italy,TOTAL,Total,FAM3,Share of births outside of marriage (% of all births),2018,,34,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_FAMILY(1.0),Family Database,I,IRL,Ireland,TOTAL,Total,FAM3,Share of births outside of marriage (% of all births),2018,,37.9,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_FAMILY(1.0),Family Database,I,DEU,Germany,TOTAL,Total,FAM3,Share of births outside of marriage (% of all births),2018,,33.9,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_FAMILY(1.0),Family Database,I,CZE,Czechia,TOTAL,Total,FAM3,Share of births outside of marriage (% of all births),2018,,48.5,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_FAMILY(1.0),Family Database,I,MEX,Mexico,TOTAL,Total,FAM3,Share of births outside of marriage (% of all births),2018,,69.3,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_FAMILY(1.0),Family Database,I,FRA,France,TOTAL,Total,FAM3,Share of births outside of marriage (% of all births),2018,,60.4,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_FAMILY(1.0),Family Database,I,CHE,Switzerland,TOTAL,Total,FAM3,Share of births outside of marriage (% of all births),2018,,25.7,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_FAMILY(1.0),Family Database,I,LUX,Luxembourg,TOTAL,Total,FAM3,Share of births outside of marriage (% of all births),2018,,39.5,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_FAMILY(1.0),Family Database,I,POL,Poland,TOTAL,Total,FAM3,Share of births outside of marriage (% of all births),2018,,26.4,,A,,PC,Percentage,0,Units,,
