country,Married,Cohabiting,Mother,Married,Cohabiting,Mother,Married,Cohabiting,Mother
Austria,"75,09","6,83","18,08","71,38","14,19","14,44","74,76","13,80","11,44"
Belgium,"48,73","19,87","31,39","55,17","20,82","24,01","64,22","23,75","12,02"
Czech Republic,"41,37","37,64","20,99","68,66","18,88","12,47","80,04","13,10","6,85"
Estonia,"36,65","46,16","17,19","51,28","30,84","17,88","59,41","28,64","11,95"
Finland,"53,44","23,43","23,13","62,39","22,57","15,04","77,02","15,31","7,67"
France,"56,08","19,90","24,01","50,01","29,15","20,84","61,01","27,65","11,34"
Greece,"92,25","1,48","6,27","91,73","0,21","8,06","93,62","0,69","5,69"
Hungary,"43,95","30,85","25,20","61,27","14,94","23,80","81,07","7,57","11,36"
Iceland,"49,56","28,69","21,75","52,61","29,14","18,25","63,70","23,26","13,04"
Ireland,"57,55","13,78","28,67","64,30","13,24","22,46","79,16","9,23","11,61"
Italy,"84,60","6,33","9,06","77,97","8,75","13,27","81,70","8,56","9,74"
Latvia,"26,92","34,61","38,47","48,92","19,53","31,55","66,42","13,67","19,91"
Lithuania,"47,37","28,21","24,42","64,73","9,59","25,68","79,06","3,62","17,32"
Luxembourg,"70,85","9,87","19,28","80,42","6,20","13,38","86,17","6,63","7,20"
Netherlands,"73,72","7,25","19,02","74,66","14,12","11,22","73,79","17,91","8,31"
Norway,"41,24","20,84","37,92","52,26","25,79","21,95","66,20","23,45","10,36"
Poland,"63,43","13,40","23,17","73,41","16,47","10,13","80,10","14,16","5,74"
Portugal,"61,61","15,50","22,89","67,50","16,31","16,19","78,34","11,20","10,46"
Slovak Republic,"60,21","15,51","24,28","79,66","6,17","14,17","85,77","7,77","6,45"
Slovenia,"71,04","18,50","10,46","51,56","33,65","14,79","61,76","29,30","8,94"
Spain,"68,51","12,85","18,63","71,68","11,48","16,84","83,48","7,49","9,03"
Sweden,"54,03","15,78","30,19","55,78","32,54","11,68","65,09","26,01","8,90"
Switzerland,"88,14","7,23","4,63","79,09","8,64","12,27","80,38","7,64","11,98"
United Kingdom,"46,29","20,90","32,80","51,69","20,33","27,98","78,63","8,97","12,40"
United States,"58,11","7,76","34,12","61,04","5,83","33,13","81,91","1,88","16,21"
OECD average,"59,77","18,28","21,95","66,41","15,26","18,33","77,17","12,20","10,63"
Bulgaria,"33,77","49,20","17,02","70,31","15,86","13,83","81,24","9,25","9,51"
Croatia,"84,93","5,96","9,11","90,67","2,24","7,09","90,12","3,75","6,13"
Cyprus,"74,27","9,58","16,15","84,09","2,98","12,93","91,58","1,75","6,67"
Malta,"74,03","1,35","24,63","87,72","1,96","10,32","87,89","2,49","9,62"
Romania,"75,84","13,64","10,52","87,57","5,14","7,28","91,88","0,44","7,67"
EU average,"61,75","18,23","20,01","70,49","13,58","15,94","79,44","10,77","9,80"
