Country,Age group,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Australia,15-19,"44,3","47,4","44,7","45,9","47,0","47,5","48,9","48,4","48,9","49,0","50,9","55,5","54,5","49,1","44,2","40,1","35,2","32,1","29,9","28,5","27,6","28,2","27,4","26,6","23,2","22,8","21,8","20,6","20,3","20,6","22,1","22,1","22,0","21,0","20,7","20,5","20,2","19,9","19,0","18,6","17,8","17,9","17,4","16,2","16,2","16,6","16,3","17,1","18,4","17,9","16,7","16,1","16,1","14,6","12,9","12,0","10,5","10,3","9,5","8,8","7,9","7,1"
Australia,20-24,"220,1","225,8","216,0","208,2","190,5","179,3","173,1","170,8","173,6","174,2","172,0","181,9","168,7","155,4","145,4","133,9","128,2","122,0","115,8","109,1","107,0","107,5","103,9","102,7","94,3","95,8","90,0","85,0","81,5","78,4","79,4","75,0","75,0","71,4","69,9","67,4","65,6","63,2","61,8","61,3","59,7","58,6","57,0","54,8","53,4","54,4","54,1","58,8","59,4","56,8","55,3","53,0","53,2","51,3","47,4","47,3","44,7","43,1","42,8","40,1","37,7","38,8"
Australia,25-29,"216,3","221,2","216,7","211,2","198,1","188,5","183,9","185,0","190,8","191,8","189,6","193,5","181,7","166,9","159,3","149,6","146,2","145,7","144,0","142,5","141,0","145,2","144,9","145,9","140,4","146,0","141,9","139,6","136,9","135,4","137,9","132,0","132,5","130,0","126,2","122,2","117,8","114,4","112,1","109,4","108,8","105,4","105,6","103,6","103,1","105,5","104,7","110,0","108,9","106,3","104,0","103,1","102,6","99,1","94,8","93,4","92,2","89,7","89,3","84,3","80,3","86,7"
Australia,30-34,"127,5","131,1","127,7","123,9","119,1","110,1","105,1","102,8","103,3","103,5","101,8","101,8","94,0","84,2","78,5","74,1","72,5","74,1","73,4","73,9","75,1","77,6","80,6","81,5","81,2","89,0","88,7","90,6","93,3","96,1","101,7","100,2","104,6","105,6","105,3","106,4","106,1","107,0","107,5","108,6","110,2","108,6","112,0","113,3","115,1","119,5","123,1","129,7","130,7","127,7","127,2","124,9","126,9","124,8","120,4","121,7","123,6","119,1","120,1","115,6","111,4","120,6"
Australia,35-39,"62,3","63,4","61,4","59,7","58,4","53,0","50,6","47,8","46,7","45,6","44,9","44,2","38,9","33,6","29,1","26,0","24,1","23,9","23,5","23,6","23,7","24,5","25,6","25,0","25,0","26,9","27,2","28,9","30,5","32,6","34,7","36,0","38,4","38,9","41,2","42,4","43,9","45,0","45,7","47,1","48,9","49,3","52,5","54,7","57,7","61,5","64,7","69,6","72,0","70,1","71,1","70,3","71,5","70,9","69,2","69,8","72,0","71,3","71,6","69,3","66,3","70,9"
Australia,40-44,"18,4","19,2","18,4","18,6","16,5","15,0","14,2","13,5","12,9","12,2","11,7","11,3","10,0","8,4","7,2","6,1","5,5","5,0","4,5","4,6","4,4","4,5","4,5","4,3","4,3","4,5","4,3","4,8","4,6","5,0","5,5","5,5","6,2","6,3","6,7","7,2","7,5","7,5","8,1","8,5","8,8","9,2","9,8","10,1","10,6","11,1","11,6","13,0","14,5","14,5","15,1","15,2","15,2","15,4","14,4","14,6","15,3","15,4","16,0","15,5","15,1","15,6"
Australia,45-49,"1,3","1,4","1,2","1,1","1,2","1,1","1,1","1,1","1,0","1,0","0,8","0,8","0,8","0,6","0,4","0,4","0,4","0,3","0,2","0,3","0,3","0,3","0,3","0,2","0,3","0,2","0,2","0,3","0,2","0,2","0,2","0,2","0,3","0,2","0,3","0,3","0,3","0,3","0,3","0,3","0,4","0,4","0,4","0,5","0,5","0,5","0,6","0,7","0,7","0,7","0,8","0,9","1,0","0,9","1,0","1,1","1,3","1,2","1,3","1,3","1,2","0,8"
Austria,15-19,"47,9","52,7","53,9","55,3","55,1","56,4","63,0","63,0","63,2","61,8","58,1","56,0","55,5","53,6","51,7","47,0","40,9","36,5","34,8","33,8","34,4","34,1","33,5","29,4","26,6","24,4","23,6","22,2","22,3","21,6","21,2","22,8","23,1","22,4","18,9","17,4","15,6","14,7","14,0","13,1","13,7","13,7","13,8","13,2","13,7","12,8","12,0","11,2","11,3","10,4","10,2","9,1","8,6","8,1","7,4","7,6","7,2","6,8","5,5","5,2","5,0","4,2"
Austria,20-24,"159,3","163,4","165,3","165,9","164,4","161,8","163,2","166,6","169,5","166,1","154,9","149,8","141,2","132,4","133,0","129,3","120,0","117,6","114,3","114,0","117,8","119,0","117,5","108,5","105,4","99,8","96,8","93,4","92,7","89,7","86,8","88,9","87,8","87,0","83,2","76,9","77,1","71,9","69,1","67,2","65,5","60,6","60,7","57,0","58,1","55,4","53,8","51,3","51,1","48,8","48,3","46,0","43,7","42,8","42,3","40,9","42,5","40,5","38,3","36,0","34,1","32,8"
Austria,25-29,"158,6","163,0","164,0","165,2","162,1","155,2","147,9","142,8","135,7","126,9","115,2","108,8","105,4","97,9","99,8","99,3","96,2","94,0","97,2","97,6","102,1","104,2","104,6","100,9","99,9","98,3","97,6","98,1","100,5","101,3","103,0","106,3","105,6","105,7","104,3","102,4","103,5","99,0","97,9","94,4","96,8","92,6","96,3","94,2","95,5","93,8","91,5","88,5","89,7","86,1","88,9","86,8","87,6","85,9","87,7","87,9","89,1","89,0","85,9","83,7","84,3","85,8"
