Entity,Code,Year,"Crude marriage rate (marriages per 1,000 people)",World regions according to OWID,"Crude marriage rate (marriages per 1,000 people)",Year
Afghanistan,AFG,2023,,Asia,,
Aland Islands,ALA,2023,,Europe,,
Albania,ALB,2023,,Europe,,
Algeria,DZA,2023,,Africa,,
American Samoa,ASM,2023,,Oceania,,
Andorra,AND,2023,,Europe,,
Angola,AGO,2023,,Africa,,
Anguilla,AIA,2023,,North America,,
Antigua and Barbuda,ATG,2023,,North America,,
Argentina,ARG,2010,3,,,
Argentina,ARG,2011,3.1,,,
Argentina,ARG,2012,3.2,,,
Argentina,ARG,2013,2.9,,,
Argentina,ARG,2014,2.8,,,
Argentina,ARG,2015,2.8,,,
Argentina,ARG,2016,2.7,,,
Argentina,ARG,2017,2.9,,,
Argentina,ARG,2018,2.8,,,
Argentina,ARG,2023,,South America,,
Armenia,ARM,2023,,Asia,,
Aruba,ABW,2023,,North America,,
Australia,AUS,1970,9.3,,6.9,1990
Australia,AUS,1980,7.4,,6.9,1990
Australia,AUS,1981,7.6,,6.9,1990
Australia,AUS,1982,7.7,,6.9,1990
Australia,AUS,1983,7.5,,6.9,1990
Australia,AUS,1984,7,,6.9,1990
Australia,AUS,1985,7.3,,6.9,1990
Australia,AUS,1986,7.2,,6.9,1990
Australia,AUS,1987,7,,6.9,1990
Australia,AUS,1988,7.1,,6.9,1990
Australia,AUS,1989,7,,6.9,1990
Australia,AUS,1990,6.9,,6.9,1990
Australia,AUS,1991,6.6,,6.9,1990
Australia,AUS,1992,6.6,,6.9,1990
Australia,AUS,1993,6.4,,6.9,1990
Australia,AUS,1994,6.2,,6.9,1990
Australia,AUS,1995,6.1,,6.9,1990
Australia,AUS,1996,5.8,,6.9,1990
Australia,AUS,1997,5.8,,6.9,1990
Australia,AUS,1998,5.9,,6.9,1990
Australia,AUS,1999,6,,6.9,1990
Australia,AUS,2000,5.9,,6.9,1990
Australia,AUS,2001,5.3,,6.9,1990
Australia,AUS,2002,5.4,,6.9,1990
Australia,AUS,2003,5.3,,6.9,1990
Australia,AUS,2004,5.5,,6.9,1990
Australia,AUS,2005,5.4,,6.9,1990
Australia,AUS,2006,5.5,,6.9,1990
Australia,AUS,2007,5.5,,6.9,1990
Australia,AUS,2008,5.5,,6.9,1990
Australia,AUS,2009,5.5,,6.9,1990
Australia,AUS,2010,5.4,,6.9,1990
Australia,AUS,2011,5.4,,6.9,1990
Australia,AUS,2012,5.4,,6.9,1990
Australia,AUS,2013,5.1,,6.9,1990
Australia,AUS,2014,5.2,,6.9,1990
Australia,AUS,2015,4.8,,6.9,1990
Australia,AUS,2016,4.9,,6.9,1990
Australia,AUS,2017,4.6,,6.9,1990
Australia,AUS,2018,4.8,,6.9,1990
Australia,AUS,2019,4.5,,6.9,1990
Australia,AUS,2020,3.1,,6.9,1990
Australia,AUS,2023,,Oceania,6.9,1990
Austria,AUT,1960,8.3,,5.9,1990
Austria,AUT,1961,8.5,,5.9,1990
Austria,AUT,1962,8.4,,5.9,1990
Austria,AUT,1963,8.1,,5.9,1990
Austria,AUT,1964,8,,5.9,1990
Austria,AUT,1965,7.8,,5.9,1990
Austria,AUT,1966,7.6,,5.9,1990
Austria,AUT,1967,7.6,,5.9,1990
Austria,AUT,1968,7.6,,5.9,1990
Austria,AUT,1969,7.3,,5.9,1990
Austria,AUT,1970,7.1,,5.9,1990
Austria,AUT,1971,6.4,,5.9,1990
Austria,AUT,1972,7.6,,5.9,1990
Austria,AUT,1973,6.5,,5.9,1990
Austria,AUT,1974,6.5,,5.9,1990
Austria,AUT,1975,6.1,,5.9,1990
Austria,AUT,1976,6,,5.9,1990
Austria,AUT,1977,6,,5.9,1990
Austria,AUT,1978,5.9,,5.9,1990
Austria,AUT,1979,6,,5.9,1990
Austria,AUT,1980,6.2,,5.9,1990
Austria,AUT,1981,6.3,,5.9,1990
Austria,AUT,1982,6.3,,5.9,1990
Austria,AUT,1983,7.4,,5.9,1990
Austria,AUT,1984,6.1,,5.9,1990
Austria,AUT,1985,5.9,,5.9,1990
Austria,AUT,1986,6.1,,5.9,1990
Austria,AUT,1987,10.1,,5.9,1990
Austria,AUT,1988,4.7,,5.9,1990
Austria,AUT,1989,5.6,,5.9,1990
Austria,AUT,1990,5.9,,5.9,1990
Austria,AUT,1991,5.7,,5.9,1990
Austria,AUT,1992,5.8,,5.9,1990
Austria,AUT,1993,5.7,,5.9,1990
Austria,AUT,1994,5.5,,5.9,1990
Austria,AUT,1995,5.4,,5.9,1990
Austria,AUT,1996,5.3,,5.9,1990
Austria,AUT,1997,5.2,,5.9,1990
Austria,AUT,1998,4.9,,5.9,1990
Austria,AUT,1999,4.9,,5.9,1990
Austria,AUT,2000,4.9,,5.9,1990
Austria,AUT,2001,4.3,,5.9,1990
Austria,AUT,2002,4.5,,5.9,1990
Austria,AUT,2003,4.6,,5.9,1990
Austria,AUT,2004,4.7,,5.9,1990
Austria,AUT,2005,4.8,,5.9,1990
Austria,AUT,2006,4.5,,5.9,1990
Austria,AUT,2007,4.3,,5.9,1990
Austria,AUT,2008,4.2,,5.9,1990
Austria,AUT,2009,4.3,,5.9,1990
Austria,AUT,2010,4.5,,5.9,1990
Austria,AUT,2011,4.3,,5.9,1990
Austria,AUT,2012,4.6,,5.9,1990
Austria,AUT,2013,4.3,,5.9,1990
Austria,AUT,2014,4.4,,5.9,1990
Austria,AUT,2015,5.1,,5.9,1990
Austria,AUT,2016,5.1,,5.9,1990
Austria,AUT,2017,5.1,,5.9,1990
Austria,AUT,2018,5.3,,5.9,1990
Austria,AUT,2019,5.2,,5.9,1990
Austria,AUT,2020,4.4,,5.9,1990
Austria,AUT,2023,,Europe,5.9,1990
Austria-Hungary,OWID_AUH,2023,,Europe,,
Azerbaijan,AZE,2023,,Asia,,
Bahamas,BHS,2023,,North America,,
Bahrain,BHR,2023,,Asia,,
Bangladesh,BGD,2023,,Asia,,
Barbados,BRB,2023,,North America,,
Belarus,BLR,2023,,Europe,,
Belgium,BEL,1960,7.1,,6.5,1990
Belgium,BEL,1961,6.8,,6.5,1990
Belgium,BEL,1962,6.7,,6.5,1990
Belgium,BEL,1963,6.7,,6.5,1990
Belgium,BEL,1964,6.9,,6.5,1990
Belgium,BEL,1965,7,,6.5,1990
Belgium,BEL,1966,7.2,,6.5,1990
Belgium,BEL,1967,7.1,,6.5,1990
Belgium,BEL,1968,7.2,,6.5,1990
Belgium,BEL,1969,7.5,,6.5,1990
Belgium,BEL,1970,7.6,,6.5,1990
Belgium,BEL,1971,7.6,,6.5,1990
Belgium,BEL,1972,7.7,,6.5,1990
Belgium,BEL,1973,7.6,,6.5,1990
Belgium,BEL,1974,7.5,,6.5,1990
Belgium,BEL,1975,7.3,,6.5,1990
Belgium,BEL,1976,7.2,,6.5,1990
Belgium,BEL,1977,7,,6.5,1990
Belgium,BEL,1978,6.8,,6.5,1990
Belgium,BEL,1979,6.6,,6.5,1990
Belgium,BEL,1980,6.7,,6.5,1990
Belgium,BEL,1981,6.5,,6.5,1990
Belgium,BEL,1982,6.3,,6.5,1990
Belgium,BEL,1983,6.1,,6.5,1990
Belgium,BEL,1984,6,,6.5,1990
Belgium,BEL,1985,5.8,,6.5,1990
Belgium,BEL,1986,5.8,,6.5,1990
Belgium,BEL,1987,5.7,,6.5,1990
Belgium,BEL,1988,6,,6.5,1990
Belgium,BEL,1989,6.4,,6.5,1990
Belgium,BEL,1990,6.5,,6.5,1990
Belgium,BEL,1991,6.1,,6.5,1990
Belgium,BEL,1992,5.8,,6.5,1990
Belgium,BEL,1993,5.4,,6.5,1990
Belgium,BEL,1994,5.1,,6.5,1990
Belgium,BEL,1995,5.1,,6.5,1990
Belgium,BEL,1996,5,,6.5,1990
Belgium,BEL,1997,4.7,,6.5,1990
Belgium,BEL,1998,4.4,,6.5,1990
Belgium,BEL,1999,4.3,,6.5,1990
Belgium,BEL,2000,4.4,,6.5,1990
Belgium,BEL,2001,4.1,,6.5,1990
Belgium,BEL,2002,3.9,,6.5,1990
Belgium,BEL,2003,4,,6.5,1990
Belgium,BEL,2004,4.2,,6.5,1990
Belgium,BEL,2005,4.1,,6.5,1990
Belgium,BEL,2006,4.2,,6.5,1990
Belgium,BEL,2007,4.3,,6.5,1990
Belgium,BEL,2008,4.3,,6.5,1990
Belgium,BEL,2009,4,,6.5,1990
Belgium,BEL,2010,3.9,,6.5,1990
Belgium,BEL,2011,3.7,,6.5,1990
Belgium,BEL,2012,3.8,,6.5,1990
Belgium,BEL,2013,3.4,,6.5,1990
Belgium,BEL,2014,3.6,,6.5,1990
Belgium,BEL,2015,4,,6.5,1990
Belgium,BEL,2016,3.9,,6.5,1990
Belgium,BEL,2017,3.9,,6.5,1990
Belgium,BEL,2018,3.9,,6.5,1990
Belgium,BEL,2019,3.9,,6.5,1990
Belgium,BEL,2020,2.8,,6.5,1990
Belgium,BEL,2023,,Europe,6.5,1990
Belize,BLZ,2023,,North America,,
Benin,BEN,2023,,Africa,,
Bermuda,BMU,2023,,North America,,
Bhutan,BTN,2023,,Asia,,
Bolivia,BOL,2023,,South America,,
Bonaire Sint Eustatius and Saba,BES,2023,,North America,,
Bosnia and Herzegovina,BIH,2023,,Europe,,
Botswana,BWA,2023,,Africa,,
Brazil,BRA,2023,,South America,,
British Indian Ocean Territory,IOT,2023,,Asia,,
British Virgin Islands,VGB,2023,,North America,,
Brunei,BRN,2023,,Asia,,
Bulgaria,BGR,1960,8.8,,6.9,1990
Bulgaria,BGR,1961,8.4,,6.9,1990
Bulgaria,BGR,1962,8.1,,6.9,1990
Bulgaria,BGR,1963,8.2,,6.9,1990
Bulgaria,BGR,1964,8.1,,6.9,1990
Bulgaria,BGR,1965,8,,6.9,1990
Bulgaria,BGR,1966,8.2,,6.9,1990
Bulgaria,BGR,1967,8.7,,6.9,1990
Bulgaria,BGR,1968,8.9,,6.9,1990
Bulgaria,BGR,1969,8.7,,6.9,1990
Bulgaria,BGR,1970,8.6,,6.9,1990
Bulgaria,BGR,1971,8.2,,6.9,1990
Bulgaria,BGR,1972,8.2,,6.9,1990
Bulgaria,BGR,1973,8.6,,6.9,1990
Bulgaria,BGR,1974,8.5,,6.9,1990
Bulgaria,BGR,1975,8.6,,6.9,1990
Bulgaria,BGR,1976,8.4,,6.9,1990
Bulgaria,BGR,1977,8.5,,6.9,1990
Bulgaria,BGR,1978,8.1,,6.9,1990
Bulgaria,BGR,1979,7.9,,6.9,1990
Bulgaria,BGR,1980,7.9,,6.9,1990
Bulgaria,BGR,1981,7.5,,6.9,1990
Bulgaria,BGR,1982,7.5,,6.9,1990
Bulgaria,BGR,1983,7.5,,6.9,1990
Bulgaria,BGR,1984,7.3,,6.9,1990
Bulgaria,BGR,1985,7.4,,6.9,1990
Bulgaria,BGR,1986,7.3,,6.9,1990
Bulgaria,BGR,1987,7.2,,6.9,1990
Bulgaria,BGR,1988,7,,6.9,1990
Bulgaria,BGR,1989,7.1,,6.9,1990
Bulgaria,BGR,1990,6.9,,6.9,1990
Bulgaria,BGR,1991,5.7,,6.9,1990
Bulgaria,BGR,1992,5.2,,6.9,1990
Bulgaria,BGR,1993,4.7,,6.9,1990
Bulgaria,BGR,1994,4.5,,6.9,1990
Bulgaria,BGR,1995,4.4,,6.9,1990
Bulgaria,BGR,1996,4.3,,6.9,1990
Bulgaria,BGR,1997,4.2,,6.9,1990
Bulgaria,BGR,1998,4.3,,6.9,1990
Bulgaria,BGR,1999,4.1,,6.9,1990
Bulgaria,BGR,2000,4.3,,6.9,1990
Bulgaria,BGR,2001,4,,6.9,1990
Bulgaria,BGR,2002,3.7,,6.9,1990
Bulgaria,BGR,2003,3.9,,6.9,1990
Bulgaria,BGR,2004,4,,6.9,1990
Bulgaria,BGR,2005,4.4,,6.9,1990
Bulgaria,BGR,2006,4.3,,6.9,1990
Bulgaria,BGR,2007,3.9,,6.9,1990
Bulgaria,BGR,2008,3.7,,6.9,1990
Bulgaria,BGR,2009,3.5,,6.9,1990
Bulgaria,BGR,2010,3.3,,6.9,1990
Bulgaria,BGR,2011,2.9,,6.9,1990
Bulgaria,BGR,2012,2.9,,6.9,1990
Bulgaria,BGR,2013,3,,6.9,1990
Bulgaria,BGR,2014,3.4,,6.9,1990
Bulgaria,BGR,2015,3.9,,6.9,1990
Bulgaria,BGR,2016,3.8,,6.9,1990
Bulgaria,BGR,2017,4,,6.9,1990
Bulgaria,BGR,2018,4.1,,6.9,1990
Bulgaria,BGR,2019,4.2,,6.9,1990
Bulgaria,BGR,2020,3.2,,6.9,1990
Bulgaria,BGR,2023,,Europe,6.9,1990
Burkina Faso,BFA,2023,,Africa,,
Burundi,BDI,2023,,Africa,,
Cambodia,KHM,2023,,Asia,,
Cameroon,CMR,2023,,Africa,,
Canada,CAN,1960,7.3,,6.8,1990
Canada,CAN,1961,7,,6.8,1990
Canada,CAN,1962,7,,6.8,1990
Canada,CAN,1963,6.9,,6.8,1990
Canada,CAN,1964,7.2,,6.8,1990
Canada,CAN,1965,7.4,,6.8,1990
Canada,CAN,1966,7.8,,6.8,1990
Canada,CAN,1967,8.1,,6.8,1990
Canada,CAN,1968,8.3,,6.8,1990
Canada,CAN,1969,8.7,,6.8,1990
Canada,CAN,1970,8.8,,6.8,1990
Canada,CAN,1971,8.9,,6.8,1990
Canada,CAN,1972,9.2,,6.8,1990
Canada,CAN,1973,9,,6.8,1990
Canada,CAN,1974,8.9,,6.8,1990
Canada,CAN,1975,8.7,,6.8,1990
Canada,CAN,1976,8.4,,6.8,1990
Canada,CAN,1977,8,,6.8,1990
Canada,CAN,1978,7.9,,6.8,1990
Canada,CAN,1979,7.8,,6.8,1990
Canada,CAN,1980,7.8,,6.8,1990
Canada,CAN,1981,7.7,,6.8,1990
Canada,CAN,1982,7.5,,6.8,1990
Canada,CAN,1983,7.3,,6.8,1990
Canada,CAN,1984,7.2,,6.8,1990
Canada,CAN,1985,7.1,,6.8,1990
Canada,CAN,1986,6.7,,6.8,1990
Canada,CAN,1987,6.9,,6.8,1990
