country,avg_size_all,avg_size_couple_with_children,avg_size_single_parent_with_children,share_couple_total,share_couple_with_children,share_couple_without_children,share_single_parent_total,share_single_mother,share_single_father,share_single_person,share_other_types,share_hh_0_children,share_hh_1_child,share_hh_2_children,share_hh_3plus_children
Australia,2.5275801827131006,3.9328625764971,2.7756357146432733,55.926052115782944,29.904701145228884,26.021350970554057,10.37354925575754,,,25.12415874982315,8.57612330511371,,,,
Austria,2.2,3.8,2.5,48.92737273508971,21.129492751914853,27.797879983174862,5.628256302912014,4.7795795452994465,0.8486767576125678,38.337314206941734,7.107056755056537,77.78149333588114,10.524052930779153,8.57497730855587,3.1194764247838336
Belgium,2.2,3.9,2.6,52.21942882285153,23.979842254782906,28.239586568068624,7.4231069501770675,6.077463686911245,1.3456432632658233,35.5023035948151,4.855160632156293,73.97423572389926,11.757354354931744,10.15381657373582,4.112670640261489
Bulgaria,2.2,3.5,2.3,40.30305948826607,16.3504097416764,23.952649746589675,4.603050973790769,3.8757263475552985,0.7273246262354713,35.80958004095323,19.284309496989923,78.21029396307067,12.932272870607198,7.480466697032339,1.3769664692897936
Canada,2.4253026498194634,,,50.9194405881055,25.300813909123775,25.61862667898173,8.715567084330706,,,29.347961421849135,11.017030905714655,,,,
Chile,2.8,,,,,,,,,,,,,,
Columbia,3.100731976182638,,,,,,,,,,,,,,
Costa Rica,3.462513167138195,4.372663463830409,3.4438669724655515,52.441872591414096,38.147069356764575,14.294803234649523,10.548100577130933,9.489555619690197,1.0585449574407368,11.270908769011005,25.739118062443968,30.29019847515847,23.07731484962178,24.608947105897343,22.023539569322406
Croatia,2.6,3.9,2.6,51.50887532742574,24.776444853146074,26.732360809229228,5.422309535752104,4.386250905645656,1.0360586301064483,27.801580003343922,15.267513793679989,74.18302873836538,11.964127997825939,10.095794551260274,3.7570487125484067
Cyprus,2.5,3.7,2.4,56.92086290728218,27.422455708936454,29.49812775945901,6.165260157603532,4.936008494942156,1.2292516626613759,24.490862348404406,12.426367853350474,71.3561131873999,13.881473571809929,11.665776828617192,3.096636412172984
