Country,TIME_PERIOD,COU,Child poverty rate,"Country mean average score in mathematics, by sex","Country mean average score in reading, by sex","Country mean average score in science, by sex",Crude divorce rate (divorces per 1000 people),Crude marriage rate (marriages per 1000 people),Employment rates (%) for all mothers (15-64 year olds) with at least one child under 15,Employment rates (%) for partnered mothers (15-64 year olds) with at least one child under 15,Employment rates (%) for sole-parent mothers (15-64 year olds) with at least one child under 15,Fertility rates (births per 1000) for 15-19 year olds,Gender gap (male-less-female) in the employment-to-population rate,Gender gap (male-less-female) in the full-time equivalent employment-to-population rate,Gender wage gap (median) for full-time employees,Infant mortality rate,"Length of paid maternity, parental and home care leave available to mothers in weeks",Length of paid paternity and parental leave reserved for fathers in weeks,Mean age of women at childbirth,Neonatal mortality rate,Post-neonatal mortality rate,Proportion (%) of children (aged 0-14) that live in households where all adults are in employment (working),Proportion (%) of children (aged 0-14) that live in households where at least one adult is in employment and one adult is not in employment (working),Proportion (%) of children (aged 0-14) that live in households with all adults not in employment (jobless),Proportion (%) of children (aged 0-14) that live in sole parent households where the sole parent is in full-time employment (working),Proportion (%) of children (aged 0-14) that live in sole parent households where the sole parent is in part-time employment (working),Proportion (%) of children (aged 0-14) that live in sole parent households where the sole parent is not in employment (jobless),Proportion (%) of children (aged 0-17) living in 'other' types of household,Proportion (%) of children (aged 0-17) living with a single parent,Proportion (%) of children (aged 0-17) living with two parents,Proportion (%) of children aged 0-2 enrolled in formal childcare and pre-school,Proportion (%) of children aged 3-5 enrolled in pre-primary education or primary school,Proportion (%) of the population aged 15-19 neither employed nor in education or training,Proportion (%) of the population aged 15-29 neither employed nor in education or training,Proportion (%) of the population aged 20-24 neither employed nor in education or training,Proportion (%) of the population aged 25-29 neither employed nor in education or training,Proportional difference in net transfers to government between single-earner and equal dual-earner couple households: household earnings at 133% of average earnings,Proportional difference in net transfers to government between single-earner and equal dual-earner couple households: household earnings at 200% of average earnings,Public social expenditure on cash benefits for families as a % of GDP,Public social expenditure on services and in-kind benefits for families as a % of GDP,Public social expenditure on tax breaks for families as a % of GDP,Share of births outside of marriage (% of all births),Total fertility rate,Total public social expenditure on families as a % of GDP
Argentina,2001,ARG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.51,
Argentina,2002,ARG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.49,
Argentina,2003,ARG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.46,
Argentina,2004,ARG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.44,
Argentina,2005,ARG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.42,
Argentina,2006,ARG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4,
Argentina,2007,ARG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.38,
Argentina,2008,ARG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.37,
Argentina,2009,ARG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.36,
Argentina,2010,ARG,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.35,
Argentina,2011,ARG,,,,,,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.34,
Argentina,2012,ARG,,,,,,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.33,
Argentina,2013,ARG,,,,,,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.32,
Argentina,2014,ARG,,,,,,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.31,
Argentina,2015,ARG,,,,,,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3,
Argentina,2016,ARG,,,,,,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.24,
Argentina,2017,ARG,,,,,,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.17,
Argentina,2018,ARG,,,,,,2.8,,,,,,,,,,,,,,,,,,,,,,,,,14.133333333333333,20.366666666666667,24.866666666666664,21.833333333333332,,,,,,,2.04,
Argentina,2019,ARG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.99,
Argentina,2020,ARG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.91,
Argentina,2021,ARG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.89,
Australia,2001,AUS,,,,,2.8,5.3,57.0,60.2,44.1,17.9,14.7,,14.34,5.3,0.0,0.0,29.5,3.7,1.6,,,,,,,,,,,,7.566666666666666,13.0,13.933333333333332,17.233333333333334,-15.9,-25.0,2.3,0.6,0.0,30.7,1.73,3.0
Australia,2002,AUS,,,,,2.7,5.4,57.1,60.6,44.0,17.4,14.7,32.5,15.0,5.0,0.0,0.0,29.7,3.4,1.6,,,,,,,,,,,,7.033333333333334,12.766666666666666,13.233333333333334,17.8,-16.8,-25.2,2.2,0.6,,31.3,1.77,
Australia,2003,AUS,,524.25,525.75,,2.7,5.3,57.7,60.9,44.8,16.2,14.1,32.5,13.04,4.8,0.0,0.0,29.9,3.4,1.4,,,,,,,0.5,19.5,80.1,,,6.8,12.6,13.299999999999999,17.566666666666666,-18.3,-25.8,2.6,0.6,0.0,31.6,1.77,3.2
Australia,2004,AUS,,,,,2.6,5.5,57.2,60.2,45.9,16.2,14.6,32.2,14.35,4.7,0.0,0.0,30.0,3.2,1.5,53.5,29.8,16.6,19.6,24.1,56.3,,,,,,7.5,12.333333333333334,12.300000000000002,17.3,-15.5,-23.7,2.2,0.6,,32.2,1.78,
Australia,2005,AUS,,,,,2.6,5.4,59.9,63.1,46.4,16.6,13.9,32.7,15.78,4.9,0.0,0.0,30.1,3.5,1.4,55.7,29.5,14.8,19.8,25.9,54.3,,,,,53.5,7.3999999999999995,11.433333333333332,11.666666666666666,15.4,-15.1,-24.1,2.1,0.6,0.0,32.6,1.85,2.8
Australia,2006,AUS,,519.75,513.3499999999999,526.9,2.5,5.5,60.8,63.1,50.6,16.3,13.4,31.3,16.67,4.7,0.0,0.0,30.2,3.2,1.5,55.5,30.3,14.3,19.4,29.1,51.5,0.5,18.0,81.5,,,7.066666666666666,11.433333333333332,11.5,15.733333333333334,-14.4,-21.4,2.0,0.6,,33.1,1.88,
Australia,2007,AUS,,,,,2.3,5.5,61.0,62.8,53.5,17.1,13.4,31.5,15.4,4.1,0.0,0.0,30.2,2.9,1.2,56.2,30.4,13.5,22.5,28.5,49.0,,,,,,6.5,10.566666666666666,10.766666666666666,14.433333333333332,-10.6,-16.1,1.8,0.6,0.0,33.9,1.99,2.5
Australia,2008,AUS,,,,,2.2,5.5,62.8,64.1,56.9,18.4,13.0,30.6,11.94,4.1,0.0,0.0,30.3,2.8,1.3,57.5,30.0,12.5,27.1,27.2,45.7,,,,,,6.3,10.433333333333334,10.733333333333334,14.166666666666666,-22.4,-19.0,2.6,0.7,,34.9,2.02,
Australia,2009,AUS,,514.45,514.5,527.25,2.3,5.5,61.8,64.1,52.1,17.9,11.5,27.2,16.36,4.2,0.0,0.0,30.0,3.0,1.2,55.8,29.2,15.1,22.1,26.7,51.2,0.4,17.6,82.0,,,8.366666666666667,12.366666666666667,11.6,16.866666666666667,-30.6,-20.0,1.9,0.7,0.0,35.1,1.97,2.7
Australia,2010,AUS,,,,,2.3,5.4,61.6,63.8,52.2,16.7,12.5,28.5,14.04,4.1,0.0,0.0,30.0,2.8,1.3,56.8,29.2,13.9,23.3,27.5,49.2,,,,38.0,52.8,8.066666666666666,11.866666666666667,11.233333333333334,15.966666666666667,-30.3,-18.2,1.8,0.8,0.0,34.4,1.95,2.6
Australia,2011,AUS,,,,,2.2,5.4,63.5,65.7,54.3,16.1,12.0,28.9,15.97,3.8,18.0,0.0,30.0,2.7,1.1,58.2,27.8,14.0,25.2,27.3,47.5,,,,,59.2,7.833333333333333,11.533333333333333,11.699999999999998,14.633333333333333,-32.4,-17.8,1.8,0.8,0.0,34.2,1.92,2.6
Australia,2012,AUS,12.9,503.95000000000005,512.3,521.4000000000001,2.2,5.4,62.5,64.9,52.0,16.1,11.5,28.2,13.75,3.3,18.0,0.0,30.1,2.3,1.0,,,,,,,0.6,18.0,81.3,,64.8,7.233333333333333,11.733333333333334,12.199999999999998,15.166666666666666,-27.4,-18.4,1.9,0.8,0.0,34.5,1.93,2.8
Australia,2013,AUS,,,,,2.1,5.1,62.5,65.2,50.6,14.6,11.1,27.1,18.0,3.6,18.0,2.0,30.1,2.5,1.1,,,,,,,,,,,81.9,7.3,13.033333333333333,13.966666666666669,16.933333333333334,-25.5,-24.8,1.9,0.8,0.0,34.4,1.88,2.7
Australia,2014,AUS,13.0,,,,2.0,5.2,62.7,65.4,50.4,12.9,11.0,26.2,15.77,3.4,18.0,2.0,30.2,2.4,1.0,,,,,,,,,,,85.3,7.2,12.666666666666666,13.266666666666666,16.7,-23.6,-24.4,1.8,0.9,0.0,34.4,1.79,2.8
Australia,2015,AUS,,493.9,503.04999999999995,509.95,2.0,4.8,63.9,66.7,51.3,12.0,10.7,26.9,13.31,3.2,18.0,2.0,30.3,2.3,,,,,,,,,,,38.6,86.5,5.966666666666666,11.866666666666667,13.133333333333333,15.533333333333333,,,1.7,0.9,0.0,34.5,1.79,2.7
Australia,2016,AUS,12.5,,,,1.9,4.9,64.9,67.7,52.3,10.5,10.1,25.2,13.73,3.1,18.0,2.0,30.5,2.3,,,,,,,,,,,38.2,84.7,5.5,11.366666666666667,12.0,15.666666666666666,,,1.5,0.9,0.0,34.0,1.79,2.4
Australia,2017,AUS,,,,,2.0,4.6,66.3,69.1,52.9,10.2,9.7,25.2,13.0,3.3,18.0,2.0,30.6,2.4,,,,,,,,,,,39.2,84.0,5.3999999999999995,10.933333333333332,11.566666666666668,15.0,,,1.4,0.9,0.0,34.8,1.74,2.3
Australia,2018,AUS,13.3,491.3,502.9,502.95,2.0,4.8,68.1,70.7,55.9,9.5,9.2,24.7,13.45,3.1,18.0,2.0,30.7,2.3,,,,,,,,,,,39.8,84.2,5.3,10.833333333333334,11.9,14.333333333333334,,,1.3,0.9,0.0,35.3,1.74,2.2
Australia,2019,AUS,,,,,1.9,4.5,68.8,71.4,56.6,8.7,8.7,,15.31,,18.0,2.0,30.8,,,,,,,,,,,,41.0,83.2,5.866666666666667,10.433333333333334,11.033333333333333,13.466666666666667,,,1.4,1.0,0.0,35.6,1.67,2.3
Australia,2020,AUS,,,,,1.9,3.1,68.0,70.4,55.7,7.8,8.3,,,,18.0,2.0,30.9,,,,,,,,,,,,44.9,81.6,7.333333333333333,14.233333333333334,15.866666666666667,18.3,,,,,,36.5,1.59,
Australia,2021,AUS,,,,,,,72.2,74.7,59.4,7.1,7.6,,,,18.0,2.0,31.1,,,,,,,,,,,,,,4.566666666666666,10.366666666666667,12.033333333333333,13.700000000000001,,,,,,,1.7,
Australia,2022,AUS,,,,,,,,,,,,,,,18.0,2.0,,,,,,,,,,,,,,,5.3999999999999995,9.633333333333333,10.166666666666666,12.800000000000002,,,,,,,,
Austria,2001,AUT,,,,,2.6,4.3,,,,13.73,16.7,26.4,22.8,4.8,86.0,26.0,28.4,3.3,1.5,,,,,,,,,,,,,,,,-33.3,-16.6,2.4,0.4,0.0,33.1,1.33,2.9
Austria,2002,AUT,,,,,2.5,4.5,,,,13.82,15.2,26.1,24.49,4.1,86.0,26.0,28.6,2.8,1.3,,,,,,,,,,,,,,,,-32.7,-16.1,2.5,0.4,,33.8,1.39,
Austria,2003,AUT,,505.6,490.75,,2.3,4.6,,,,13.16,14.8,25.4,21.14,4.5,86.0,26.0,28.8,3.1,1.4,,,,,,,2.0,16.8,81.2,,,,,,,-32.1,-15.3,2.6,0.4,0.0,35.3,1.38,3.0
